"","year","district_2000","payout","group","wrsi","planting","production","yield","fertiliser_rate","era","index","wrsi_std","resid_m1","resid_m2","resid_m3","resid_m4","resid_m5","resid_m6","resid_m7","resid_m8","resid_m11"
"1",2001,"Chadiza",0,3,80.3198089599609,15141.5,14806.5645,0.977879635439025,0,1,1,2.77600111977426,-2.12903784304958,NA,-2.12110823477972,-5780.34224512485,-12803.4863376972,3359.31924665371,241.3441944077,-2.42930741399675,-2.21391507943108
"2",2001,"Chama",0,2,79.6069912758603,6276,9592.2225,1.5283974665392,0,1,2,2.82057894175246,-1.35838363148269,0.521602186490717,-1.63015424120949,-1160.58763440279,-5243.56178710394,95.7069753383597,-734.107458219263,-0.419310590471373,-1.61750061321599
"3",2001,"Chavuma",0,1,78.7412719726562,488,561.795,1.15121926229508,0,1,3,0.943917684898931,-1.27390868332107,0.270190194951094,-1.27843998792568,1813.56644596256,-742.587090314958,-43.5675763769864,-508.582478135299,0.969600577712162,-1.42867659681197
"4",2001,"Chibombo",0.0026003846153846,3,73.5662661171634,32706.6220833333,69205.92868625,2.11596075283837,0,1,4,2.31313437438444,-0.845064973875193,0.381604824798046,-0.875414500457611,7179.64581741707,6907.60440814199,-444.154801084521,486.192478059397,1.26167318174001,-1.3133565951238
"5",2001,"Chiengi",0,2,NA,NA,NA,NA,NA,1,5,NA,2.33817591079275,3.01739430087698,2.13279905058718,3103.76950596793,5501.41228071752,8231.55558273264,11081.9720478819,-0.078255714109963,1.10992512352733
"6",2001,"Chililabombwe",0,2,81.6343765258789,1217,1424.1855,1.17024281018899,0,1,6,1.67296988741731,4.18940842079706,2.57553342931038,4.92881448490271,-3334.6701678636,-1161.05083769758,4550.27011075061,5382.84419440761,0.137054489396201,4.50096509531382
"7",2001,"Chilubi",0,2,80.8619916723409,247,190.548,0.771449392712551,0,1,7,1.83774632527149,-0.86061473588033,-4.96044742216123,-1.78216966298686,-16566.0439203166,-24264.1900953891,-3351.36577232002,-7335.76808771392,NA,-0.576825591702971
"8",2001,"Chingola",0,2,81.6343765258789,1344.28571428571,3938.27914285714,2.92964442082891,0,1,8,1.67296988741731,2.17451414237445,3.04951009977598,1.2109845815871,-13176.9094086717,-18800.4823956719,-4516.13118764401,-6890.62861000379,-0.661836637819307,2.41474341578352
"9",2001,"Chinsali",0,3,82.8455866122017,2105,2198.2365,1.04429287410926,0,1,9,2.74543628919329,0.618964777147994,-1.42494829833382,-0.0955514092538143,-6554.93560771614,-10467.4897334024,2857.3252025677,825.66607496355,0.326450116765542,0.805620182213633
"10",2001,"Chipata",0,3,80.3198089599609,39543.5,47595.192,1.20361606838039,0,1,10,2.77600111977426,1.90659129277601,1.41137143076267,1.42392223917099,72.9190939452362,-2107.16902748376,1099.83080202737,-514.242031824089,NA,2.43237981764184
"11",2001,"Choma",0,1,63.4241972746673,23102.8333333333,54400.315,2.35470317493525,0,1,11,1.07185790736155,2.51679087637637,0.586781166761823,1.89750550860321,6017.97249039269,6030.70089174045,2126.02276001048,2533.95878508255,-0.928168160302821,2.71517618290662
"12",2001,"Chongwe",0,3,65.6771294302192,17471.25,36429.265125,2.08509781068899,0,1,12,1.49583315968373,0.710421006666479,-1.60727587751931,-0.0361282170493979,10582.8825756722,548.255893282595,3418.279300698,183.887106725638,-1.6452745994415,1.25740626560544
"13",2001,"Gwembe",0,1,60.5719108581543,2365,3655.4865,1.54566025369979,0,1,13,0.978382535944463,NA,NA,NA,NA,NA,NA,NA,1.52789708972937,NA
"14",2001,"Isoka",0,3,80.7409768959001,5206,4765.8105,0.915445735689589,0,1,14,2.59270726021447,1.45989848945493,0.95472760869502,1.0004984166157,17253.8492503634,10702.5663926125,3320.85137778421,1510.55943989079,-0.190291653961011,1.87870366422684
"15",2001,"Itezhi_tezhi",0,3,NA,NA,NA,NA,NA,1,15,NA,1.35055155130054,-0.779207591173831,0.902492503771293,19385.0177965424,9827.87841435651,2047.66656442396,-2844.47073768973,0.0734522737385828,0.210293866248482
"16",2001,"Kabompo",0,2,82.5536508263189,3027,3625.236,1.19763330029732,0,1,16,0.900733714736192,NA,NA,NA,NA,NA,NA,NA,-0.0388636031179595,NA
"17",2001,"Kabwe",0,3,76.8227081298828,4131.8621875,13783.64409375,3.33593993900601,0,1,17,2.50798887691297,-2.56469574856611,-2.88584309319064,-2.57915083906389,26962.6578238293,26146.9707890022,2277.63642403496,3011.51506695575,0.269490465595485,-2.11373460602373
"18",2001,"Kafue",0.00113356060606062,3,68.2536757603165,9330.04545454545,27923.8062272727,2.99289069526115,0,1,18,1.71314390700355,-2.7695574038755,-0.115285920793231,-2.63771720320611,-27838.0340039458,-26814.368354225,-6728.51097996803,-5204.52250986643,0.448376744120764,-2.15627146216359
"19",2001,"Kalabo",0.0753751137820513,1,75.1033055945288,5760,1970.5035,0.342101302083333,0,1,19,-2.27396734306147e-05,0.706579232288129,3.49399644460181,0.97197057555219,-4729.81822979744,-2324.34798140794,-3680.20286927561,-1731.74527191395,-0.130126157873307,0.972617806727959
"20",2001,"Kalomo",0.00339739130434788,1,61.2853444417318,22040.8896551724,37222.271637931,1.68878263174808,0,1,20,0.882577771113244,-2.07861992615252,-3.17970115501126,-1.75295544695225,12426.8149572108,13583.2187427113,-5094.86200634129,-4824.34498692275,NA,-2.85868143360838
"21",2001,"Kalulushi",0,2,81.6343765258789,2064,2554.6095,1.23769840116279,0,1,21,1.67296988741731,0.453319851114823,NA,0.619555858658436,8088.34721546641,5460.80538954956,4813.91966281627,3244.72108848834,-0.0475658444321632,0.211547936002789
