"","Decad","var","province","cnt.total","year","decad.name"
"96",20,"planting_end","Eastern",0,"2021",2022-07-12
"97",21,"planting_end","Eastern",0,"2021",2022-07-22
"98",22,"planting_end","Eastern",0,"2021",2022-08-02
"99",23,"planting_end","Eastern",0,"2021",2022-08-12
"100",24,"planting_end","Eastern",0,"2021",2022-08-22
"101",25,"planting_end","Eastern",0,"2021",2021-09-02
"102",26,"planting_end","Eastern",0,"2021",2021-09-12
"103",27,"planting_end","Eastern",0,"2021",2021-09-22
"104",28,"planting_end","Eastern",0,"2021",2021-10-02
"105",29,"planting_end","Eastern",0,"2021",2021-10-12
"106",30,"planting_end","Eastern",0,"2021",2021-10-22
"107",31,"planting_end","Eastern",0,"2021",2021-11-02
"108",32,"planting_end","Eastern",0,"2021",2021-11-12
"109",1,"planting_end","Luapula",10,"2021",2022-01-01
"110",2,"planting_end","Luapula",14,"2021",2022-01-11
"111",3,"planting_end","Luapula",4,"2021",2022-01-21
"112",4,"planting_end","Luapula",3,"2021",2022-02-01
"113",5,"planting_end","Luapula",4,"2021",2022-02-11
"114",6,"planting_end","Luapula",4,"2021",2022-02-21
"115",7,"planting_end","Luapula",1,"2021",2022-03-02
"116",8,"planting_end","Luapula",1,"2021",2022-03-12
"117",9,"planting_end","Luapula",6,"2021",2022-03-22
"118",34,"planting_end","Luapula",3,"2021",2021-12-02
"119",35,"planting_end","Luapula",11,"2021",2021-12-12
"120",36,"planting_end","Luapula",16,"2021",2021-12-22
"121",10,"planting_end","Luapula",0,"2021",2022-04-02
"122",11,"planting_end","Luapula",0,"2021",2022-04-12
"123",12,"planting_end","Luapula",0,"2021",2022-04-22
"124",13,"planting_end","Luapula",0,"2021",2022-05-02
"125",14,"planting_end","Luapula",0,"2021",2022-05-12
"126",15,"planting_end","Luapula",0,"2021",2022-05-22
"127",16,"planting_end","Luapula",0,"2021",2022-06-02
"128",17,"planting_end","Luapula",0,"2021",2022-06-12
"129",18,"planting_end","Luapula",0,"2021",2022-06-22
"130",19,"planting_end","Luapula",0,"2021",2022-07-02
"131",20,"planting_end","Luapula",0,"2021",2022-07-12
"132",21,"planting_end","Luapula",0,"2021",2022-07-22
"133",22,"planting_end","Luapula",0,"2021",2022-08-02
"134",23,"planting_end","Luapula",0,"2021",2022-08-12
"135",24,"planting_end","Luapula",0,"2021",2022-08-22
"136",25,"planting_end","Luapula",0,"2021",2021-09-02
"137",26,"planting_end","Luapula",0,"2021",2021-09-12
"138",27,"planting_end","Luapula",0,"2021",2021-09-22
"139",28,"planting_end","Luapula",0,"2021",2021-10-02
"140",29,"planting_end","Luapula",0,"2021",2021-10-12
"141",30,"planting_end","Luapula",0,"2021",2021-10-22
"142",31,"planting_end","Luapula",0,"2021",2021-11-02
"143",32,"planting_end","Luapula",0,"2021",2021-11-12
"144",33,"planting_end","Luapula",0,"2021",2021-11-22
"145",1,"planting_end","Lusaka",14,"2021",2022-01-01
"146",2,"planting_end","Lusaka",18,"2021",2022-01-11
"147",3,"planting_end","Lusaka",2,"2021",2022-01-21
"148",4,"planting_end","Lusaka",5,"2021",2022-02-01
"149",35,"planting_end","Lusaka",1,"2021",2021-12-12
"150",36,"planting_end","Lusaka",7,"2021",2021-12-22
"151",5,"planting_end","Lusaka",0,"2021",2022-02-11
"152",6,"planting_end","Lusaka",0,"2021",2022-02-21
"153",7,"planting_end","Lusaka",0,"2021",2022-03-02
"154",8,"planting_end","Lusaka",0,"2021",2022-03-12
"155",9,"planting_end","Lusaka",0,"2021",2022-03-22
"156",10,"planting_end","Lusaka",0,"2021",2022-04-02
"157",11,"planting_end","Lusaka",0,"2021",2022-04-12
"158",12,"planting_end","Lusaka",0,"2021",2022-04-22
"159",13,"planting_end","Lusaka",0,"2021",2022-05-02
"160",14,"planting_end","Lusaka",0,"2021",2022-05-12
"161",15,"planting_end","Lusaka",0,"2021",2022-05-22
"162",16,"planting_end","Lusaka",0,"2021",2022-06-02
"163",17,"planting_end","Lusaka",0,"2021",2022-06-12
"164",18,"planting_end","Lusaka",0,"2021",2022-06-22
"165",19,"planting_end","Lusaka",0,"2021",2022-07-02
"166",20,"planting_end","Lusaka",0,"2021",2022-07-12
"167",21,"planting_end","Lusaka",0,"2021",2022-07-22
"168",22,"planting_end","Lusaka",0,"2021",2022-08-02
"169",23,"planting_end","Lusaka",0,"2021",2022-08-12
"170",24,"planting_end","Lusaka",0,"2021",2022-08-22
"171",25,"planting_end","Lusaka",0,"2021",2021-09-02
"172",26,"planting_end","Lusaka",0,"2021",2021-09-12
