"dekad","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
11,"1981",0.9743321,1.570381,1.840986,3.561391,0.9030722,2.28853,11.44097,2.17367,0.05523604,0.120707,0.7023003,0.6584158,1.968607,0.4530466,0.04778391,0.7931,0.3218825,0.3815489,0.3180954,1.957775,0.8220351,0.02762783,1.384847,3.344583,2.429149,3.2512,1.001707,1.368136,0.2592364,5.682506,1.364877,2.387827,3.402029,0.129886,0.5804831,2.053077,7.816597,1.088359,3.255464,0.7160197,0.4759599,1.231171,1.374617,2.61207,1.885425,1.292071,0.4861123,2.350437,5.197796,8.355982,3.338056,6.562663,0.8579082,0.3153349,0.8380136,0.7118306,6.150047,0.8722723,0.3462678,0.7681081,2.219035,10.2028,2.167454,0.6322147,2.164292,2.478708,0.002581404,7.522295,2.049515,3.745994,3.438865,2.193006,0.1913341,0.6777509,9.280725,6.492991,9.811696,0.35873,2.05621,2.81083,4.229277,0.3896803,3.687891,2.655228,0.9074407,0.7593577,2.61108,1.368835,3.059345,1.965648,2.262592,2.495914,7.775254,1.708863,11.249,7.477147,0.6871334,2.777387,3.568768,1.248239,5.571094,5.951461,2.653216,9.559795,5.977206,0.5636408,0.6064792,1.001617,8.829022,2.846446,0.414637,5.113524,2.045041,2.287258,1.64142,0.8348684
12,"1981",19.0791,23.05359,33.37943,7.730623,68.86881,44.35978,57.96098,74.25098,37.68222,53.91563,41.58116,30.49117,44.26444,27.24438,18.56828,25.7776,72.22414,36.46713,63.00789,16.73537,8.042641,62.67106,18.96898,51.15294,34.06969,3.230562,9.267076,64.78968,46.35752,8.095685,6.315702,48.52746,29.53225,11.30075,4.95375,56.39928,42.42526,25.66516,13.9314,22.41239,13.4742,64.40627,4.296886,55.1147,15.03711,6.065492,6.532307,3.411922,38.22514,52.11504,53.05468,39.06071,6.060179,25.70474,26.91425,34.96682,48.74994,67.4466,67.59299,13.14387,40.74102,38.13628,22.63096,73.55013,16.11481,49.42063,21.63041,40.92862,63.58454,5.666339,39.75888,5.470644,10.74493,16.0597,45.18651,58.53619,48.07357,50.02039,10.03716,3.144696,8.87229,26.38966,33.09118,3.90116,72.07105,74.86359,36.70077,24.62317,5.722335,4.208539,57.3237,52.90008,33.68025,4.02823,43.30306,28.59257,12.53824,21.0055,48.14857,54.41203,7.516397,39.85152,21.51024,13.93173,6.432816,36.67187,20.28581,27.57141,8.413285,10.24424,10.55522,6.490767,36.0887,29.00435,5.213728,7.206563
13,"1981",0.3916837,3.446164,4.197551,2.359525,0.3831683,0.2959315,12.20095,0.8891892,0.2030863,0.07218605,0.6819277,0.8348972,0.9745387,1.490989,0.1839495,0.3120836,1.572639,0.4266,0.01835097,0.7594621,0.08426859,0.07146607,0.2751727,2.357116,9.081476,0.7466555,0.4187915,0.09657688,0.2398868,2.096891,0.1596525,0.557112,1.146594,1.00292,0.2387499,0.2149576,8.397384,2.297322,0.7752221,0.1328203,0.1484991,4.082574,0.582378,0.4660845,1.023584,0.4578623,0.1399885,0.907207,1.163708,0.7829221,0.3399059,1.3624,0.2832228,1.089315,2.189413,0.2424706,5.51868,1.491148,0.08116879,0.2207653,3.322108,28.30714,0.1640538,0.3463733,1.038075,0.2495621,0.03564948,3.559073,0.5435932,1.464113,0.5133366,0.7863821,0.06687712,1.429103,1.042948,6.477632,5.597605,0.3743935,0.7745825,1.350576,0.9163201,1.138705,1.492374,1.100216,3.199481,1.243606,1.047808,4.005115,0.8683819,0.1849428,5.562349,0.2288025,0.9456244,0.6180279,7.127837,0.8318444,0.07470383,0.3490538,0.7451977,0.3234545,1.57976,2.279488,0.4105739,2.594495,1.947392,0.1138317,1.279539,0.6721288,2.670158,0.09477364,0.1597479,1.574259,0.7795745,1.088465,0.7523906,0.01803584
14,"1981",0.09201296,0.5011246,1.074066,1.701905,0.00013419533,0.1527286,1.254659,0.01039433,0.08694104,0.0449172,0.2227132,0.4013841,0.2923255,0.2391011,0.6129338,0.04892303,0.007488251,0.03739797,0.1504908,0.362332,0.05772211,0.1622939,0.0001303436,0.05081268,0.3298988,0.2384135,0.08189759,0.1738006,0.1504442,1.045432,0.02004365,0.2513403,0.01093176,0.4801801,0.0281162,0.3265215,0.9848149,0.2386267,0.0611002,0.09809712,0.08867875,0.2477317,0.1003589,0.04171138,0.4664291,0.3611905,0.217857,0.2045077,0.4915094,0.3228773,0.00051552366,0.06998369,0.03684712,0.3798523,0.603025,0.04581535,0.5453683,0.1069395,0.01552518,0.1457222,0.5014021,2.265791,0.04665818,0.08464856,0.04327079,0.07011984,0.01574424,0.588863,0.00212099,0.5283445,0.426243,0.2414441,0.02086556,0.6510581,0.05258108,1.130213,0.1099887,0.2073729,0.05284986,0.2788295,0.1440241,0.312648,0.01194179,0.1235124,0.007944371,0,0.05796447,0.65786,0.3178315,0.07256734,0.5920855,0.00045248689,0.1118003,0.09678918,0.6015351,0.2866167,0.01193587,0.4560948,0.3906897,0.006446851,0.04219932,0.192677,0.4000041,0.01371589,0.3467864,0.02021369,0.4895929,0.03965958,0.7697267,0.00021318918,0.2494542,0.06557463,0.03063858,0.5752428,0.3183954,0.00083986146
15,"1981",0.1208789,0.6010327,1.294988,1.075354,0,0.09041617,0.7434396,0.00070358382,0.05826167,0.03016737,0.07932268,0.3945022,0.1282039,0.3055175,0.7614434,0.04227491,0.001463226,0.01519557,0.1036556,0.44747,0.06522218,0.1189759,0.0006599155,0,0.2435075,0.09892384,0.003056233,0.06440589,0.07764488,0.5634344,0.004119935,0.05211877,0,0.5763684,0.00013405037,0.2383823,0.7350336,0.1998666,0.00028684334,0.09795413,0.1407647,0.07261568,0.05638005,0.002783636,0.5380073,0.1382638,0.1419507,0.05404058,0.3839537,0.2676136,0,0.002454994,0.006719328,0.3778869,0.7154086,0.0323488,0.2740643,0.06381515,0.007711804,0.2013248,0.3631665,2.458023,0.04951,0.05519394,0.00031921966,0.02543063,0.01963392,0.5925624,0.001021654,0.200705,0.4068644,0.1034415,0.01777751,0.7398578,0.003899207,0.9962292,0.01192081,0.07166506,0.00047037847,0.1154667,0.01568165,0.3531509,0,0.07523824,0,0,0.004276484,0.7241688,0.1439931,0.03584716,0.1881091,0,0.02060472,0.00055851106,0.2679997,0.3361224,0.0321863,0.5942255,0.3401726,0.004334429,0.01245826,0.1433203,0.4427823,0.006083577,0.09606269,0.009113298,0.6342714,0.02212362,0.2966549,0.003245984,0.3989684,0.004183119,0,0.7579994,0.128914,0.007211893
16,"1981",0.3269115,0.3058428,0.8182428,0.4140159,0.09971299,0.02348412,0.5056257,0.03136325,0.1461933,0.01496972,0.1276621,0.1110171,0.1795422,0.2166229,0.2323657,0.2732916,0.1574737,0.06212444,0.03063342,0.2841661,0.1425331,0.131758,0.04377818,0.2613142,0.2021524,0.1854678,0.0809487,0.02028061,0.1040427,0.2862545,0.1686202,0.1247233,0.101459,0.3430993,0.002515835,0.1063699,0.3906175,0.2577689,0.1143292,0.1268526,0.1733532,0.2833526,0.2281946,0.05985058,0.2864456,0.1087205,0.145915,0.08754248,0.2600486,0.1377592,0.1090065,0.1347839,0.006493528,0.2291036,0.3268858,0.02960987,0.4705352,0.2107725,0.04485134,0.08925451,0.3761864,1.241051,0.04816458,0.1196625,0.1068419,0.06947939,0.03516731,0.582591,0.09697798,0.1275007,0.1825677,0.1040469,0.06293605,0.3205993,0.09179892,0.5137283,0.2661665,0.09155541,0.07579749,0.1645904,0.09213436,0.1743826,0.1364411,0.3406111,0.1049152,0.02133199,0.1429474,0.3404686,0.1859763,0.1392622,0.2759275,0.05341024,0.09112371,0.07091094,0.2945433,0.1729504,0.1330627,0.2588578,0.2343566,0.04377023,0.1127274,0.4096566,0.2224658,0.2597974,0.2330987,0,0.5222103,0.08447596,0.2851524,0.06608523,0.3439317,0.2959587,0.1481149,0.6223583,0.1042783,0.1396512
17,"1981",0.381413,0.1232494,0.4842858,0,0.01927462,0.001772343,0.00011340957,0.01344216,0.1536163,0.002321042,0.003818317,0.04509246,0.01686249,0.1489266,0.0971693,0.3269601,0.09533247,0.05430485,0.00694096,0.1577559,0.1734514,0.09478255,0.07519186,0.07249908,0.02322929,0.1486067,0.018315,6.5914326e-05,0.07410086,1.9839144e-05,0.2593228,0,0.02330711,0.2014579,1.9646495e-05,0.01557892,3.4532249e-07,0.1560843,0.03330715,0.1748435,0.267582,0.08884227,0.2434068,3.0873824e-05,0.1426196,9.4163559e-05,0.09346434,0.009380187,0.1312526,0.02120329,0.06825317,0.01792699,0,0.1460873,0.1696012,0.02300054,0.2719074,0.1884608,0.02401057,0.07196347,0.2387514,0.2222566,0.05674951,0.02710612,0.00610757,0.02249012,0.06932586,0.1844592,0.04280216,0,0.04715739,0.003441538,0.1099903,0.1408539,0.009878955,0.02672006,0.04771356,0,0.006380957,0.07172213,0.02380232,0.177618,0.05510523,0.3380112,0.00078833132,0.001755896,0.02475223,0.1627365,0.03713183,0.1782153,4.8680695e-06,0.03337395,0.004457432,0.00037188423,7.8942474e-05,0.06622712,0.1774583,0.1349841,0.1379287,0.01813508,0.07942151,0.2450287,0.07216196,0.2677789,0.03423631,2.6362966e-05,0.3998206,0.08083194,1.2344724e-06,0.1142097,0.3958936,0.240443,0.02842816,0.397307,0.00027317606,0.2155099
18,"1981",0.323822,0.05872314,0.2869529,0,8.7665932e-05,0.00052470481,0,0.001136512,0.1155695,0.001038229,0,0.01126778,0.001581412,0.07745229,0.05924905,0.2602118,0.01806264,0.04039654,0.004238947,0.1164375,0.133126,0.06980202,0.06176347,0.02597366,0.006350924,0.1013289,0.01074991,0,0.05078092,0,0.2046815,0,0.005821634,0.1120072,3.9895294e-06,0.006559921,0,0.07406511,0.01216123,0.1332801,0.2349444,0.03387553,0.1801275,0,0.1062676,0,0.06099173,0.002900308,0.08829015,0.01266965,0.03438013,0.00350404,0,0.09019991,0.09480783,0.006760767,0.143068,0.08397128,0.01517867,0.06497056,0.1131226,0.08828172,0.04264668,0.003162015,0.002421758,0.01092915,0.05663548,0.08821628,0.004962357,0,0.02248563,3.4097287e-05,0.08795162,0.09027336,0.003178748,0.001641355,0.01981199,0,0.001462568,0.04637606,0.01061384,0.1015526,0.0223486,0.2498175,0,6.4719852e-06,0.009572691,0.09942086,0.0136948,0.1353563,0,0.01269045,0.001106224,1.6277186e-06,0,0.06306528,0.1396681,0.09770322,0.09687535,0.002052932,0.05114014,0.1382994,0.05256653,0.1993599,0.01635869,2.7709568e-05,0.2549492,0.06143063,0,0.09399865,0.3386588,0.1737034,0.005742149,0.36685,0.00013398068,0.1693118
19,"1981",0.2267301,0.03538482,0.1487436,0.005338959,0.009647521,0.00040543292,0.00057137717,0,0.01466209,7.064965e-05,0.007514758,0.006336653,0.01042221,0.06552505,0.05769237,0.06644741,2.7575399e-07,0.01191268,0.005322433,0.1488568,0.02318691,0.03249538,0.008125803,0,0.04003546,0.02411954,0.002159795,0.00098471204,0.009097222,0.001751986,0.03780675,0.001132853,0.00320394,0.04097631,1.0243533e-06,0.02009178,4.495233e-06,0.04176499,0.006882335,0.01915706,0.1825616,0.009905525,0.03816551,0.00014259634,0.1524792,0.00049447175,0.01723026,0.003017897,0.09449939,0.07679529,0.008627338,0.007862718,0,0.04396049,0.08763024,0.002613232,0.02811568,0.006129059,0.006829182,0.1383376,0.02993795,0.3290992,0.01712706,0.003147193,0.00030406399,0.003708377,0.007501357,0.07142897,0.01068877,0.001685483,0.04534254,0.002764639,0.01379433,0.1236178,0.003457149,6.8260044e-05,0.003792125,0.0005918977,0.00095473172,0.01346273,0.005195952,0.05804831,0.01548957,0.05166235,0.001487766,0,0.00081780314,0.02611173,0.02047136,0.02600806,5.8733029e-05,0.006855211,0.002516139,0.00018678987,0,0.1988457,0.02192017,0.1321689,0.06196081,0.005269689,0.01613859,0.06450778,0.1543289,0.05053185,0.04770604,2.7678202e-06,0.1251829,0.01453687,0.006244494,0.02233342,0.2767653,0.07283925,0.007471435,0.4736904,0.003056081,0.03178886
20,"1981",0.1505587,0.015984,0.0666353,0.0135968,0,7.6421435e-05,0,0,0,0,0.001559861,0,5.0164814e-05,0.04015634,0.03926347,0.02159578,0,0.004161961,0.003932145,0.1293844,1.2839843e-07,0.01267281,6.6147032e-07,0,0.03613858,1.2457166e-06,0.00066652696,0.00090113969,0.002280317,0.00034364266,0,0,0,0.00108319,0,0.01423916,0,0.01123107,0,0.003960482,0.1329607,0.00558351,0,0,0.1370974,0,0,0,0.07028737,0.0768623,0,0,0,0.02974531,0.06259917,0,9.0246806e-07,0,0.002559152,0.1400132,0,0.2583221,0.01382819,0,2.2025793e-06,0.00031798647,1.1802868e-05,0.01453305,0,0.003319034,0.03596261,0,0.0002703701,0.1059632,1.2420322e-05,0,0,0,0,0,0,0.02948647,4.244421e-08,0,0.001836261,0,7.958939e-06,0.003352117,0.003307037,2.6867961e-05,8.7012995e-05,0,2.3825631e-05,0,0,0.1935206,0,0.09913631,0.03600649,0,0.00011173385,0.01665042,0.1483122,0.004675793,0.0356756,0,0.05610136,0.002777389,0.004021788,0.009018749,0.1806647,0.02510709,0,0.3728177,0.006272101,2.6756859e-07
