"dekad","year","1","2","3","4","5","6","7","8","9","10"
12,"1982",5.046939,11.25861,9.67913,19.02786,5.378674,16.02113,10.81449,18.22323,4.142255,8.385373
13,"1982",2.905235,5.646669,4.961695,13.36841,2.207067,10.25586,2.947999,22.82391,1.446714,2.302762
14,"1982",0.9542779,0.4230939,1.330543,1.210853,0.7523624,2.036027,0.2980979,2.323981,0.593192,0.548992
15,"1982",0.6521435,0.1155469,1.406496,0.5040309,0.4082057,2.471544,0.06557731,2.147937,0.3729504,0.2254209
16,"1982",0.2731754,0.2558799,0.4571801,0.4409074,0.2869037,0.537954,0.2853804,0.6313144,0.3318082,0.2614321
17,"1982",0.08340774,0.03091642,0.2717727,0.04057493,0.1397332,0.2182635,0.08060805,0.1870648,0.2522218,0.07784921
18,"1982",0.04924929,0.008886206,0.1751477,0.009607795,0.09723767,0.1123244,0.03755505,0.08157976,0.1967015,0.06521495
19,"1982",0.06474148,0.009100144,0.1888245,0.02297395,0.05919272,0.1364073,0.01232747,0.07393914,0.04793388,0.0213373
20,"1982",0.0529834,0.0001594252,0.1506043,0.005294888,0.03311977,0.09245158,0.001324726,0.01502979,0.0009081121,0.004818594
21,"1982",0.06479731,0.01189345,0.1364739,0.0303071,0.04833439,0.09506218,0.03064168,0.02852442,0.001966259,0.01370488
22,"1982",0.08654398,0.05418791,0.08024158,0.03484344,0.08561502,0.07191835,0.06175555,0.02781601,0.01493659,0.02595731
23,"1982",0.1025085,0.08079482,0.06954261,0.08426026,0.1048394,0.07670035,0.1143997,0.063001,0.02223698,0.04370752
24,"1982",0.19259,0.181925,0.1271609,0.4014792,0.1812435,0.1754764,0.4894653,0.3769708,0.1310396,0.2094721
25,"1982",0.02624259,0.001268766,0.0458662,0.6900619,0.04926258,0.1537766,0.8374909,0.764111,0.02219998,0.125608
26,"1982",0.1030484,0.04119312,0.1169611,1.053125,0.1402339,0.2529385,1.03833,1.110042,0.1401612,0.2769926
27,"1982",1.254819,1.483744,0.722531,2.452523,0.9907351,0.7542729,2.649284,2.107926,1.216286,2.33829
28,"1982",8.073443,14.7342,2.337825,21.9617,4.459759,2.185646,39.61296,10.11973,4.2687,12.76093
29,"1982",15.51096,22.64606,3.295918,13.3595,15.68586,2.122012,23.36002,6.44268,22.94128,15.68314
30,"1982",13.93909,17.9108,14.17583,33.04695,14.75122,17.59075,22.53121,30.27965,8.760882,12.15406
31,"1982",16.4067,40.41217,9.121984,54.75635,4.518474,24.90619,71.00364,40.91265,10.8519,55.46362
32,"1982",42.71787,83.87717,34.63211,105.506,18.53856,57.33614,76.26492,84.35333,12.43107,38.53157
33,"1982",76.89603,81.13351,64.60036,112.1078,47.06204,95.92977,72.54794,151.2398,38.60343,61.12182
34,"1982",37.88441,67.36938,55.95406,92.39388,34.95496,68.3852,59.04632,95.94424,35.93762,54.04067
35,"1982",48.068,66.13239,69.1094,89.7134,61.35727,87.5477,68.79364,100.3485,22.22959,24.65873
36,"1982",50.07214,77.18633,51.05061,111.3033,35.2759,86.03448,65.57304,135.7383,29.31468,47.81009
1,"1983",62.10333,71.8588,54.30552,81.32096,41.26275,59.94465,65.45368,79.40766,52.97664,56.73576
2,"1983",75.46387,90.5451,96.102,69.16988,60.04676,83.35607,67.89119,81.71734,61.68575,55.06828
3,"1983",93.04114,114.316,88.88871,91.34644,86.45014,72.18298,73.5148,100.6817,96.2067,70.58644
4,"1983",49.49758,60.55764,67.43769,72.59605,62.86654,62.19461,73.94201,63.15049,42.75134,42.48235
5,"1983",84.04242,119.7007,105.4559,104.7796,94.50725,96.89745,62.49405,72.6094,36.53669,41.95194
6,"1983",12.75936,16.53029,8.265908,39.27045,6.113797,15.8028,8.470493,38.02672,11.03403,8.718358
7,"1983",41.44207,49.40703,47.55291,91.16544,33.34761,68.01836,58.63027,92.46008,32.23756,41.28464
8,"1983",17.29499,28.72791,16.75553,63.36402,4.989332,39.2502,47.46974,60.45327,7.37783,26.73426
9,"1983",21.5999,28.16724,27.80993,23.50888,12.36746,22.60003,38.79424,22.87799,27.2549,34.01176
10,"1983",15.33286,42.2571,25.22661,45.48613,9.681205,27.98154,38.80423,60.53149,10.15637,18.27805
11,"1983",8.241874,13.78123,12.72132,24.69094,7.302531,12.22715,22.13428,23.1087,6.302671,24.55267
12,"1983",8.487743,14.51742,11.40202,22.0035,13.78539,7.962799,7.653782,28.40363,6.839259,9.631879
13,"1983",3.550778,6.139669,2.738685,4.402419,3.465377,3.558788,5.950018,6.686592,1.64251,2.899527
14,"1983",0.694815,0.2664537,0.9645303,1.17338,0.4607292,1.71519,0.3161264,1.983522,0.5735685,0.6444229
15,"1983",0.4105462,0.06326064,0.7526587,0.4782417,0.2549178,1.311449,0.07452066,1.358127,0.4065245,0.2789636
16,"1983",0.2734779,0.2559852,0.5083647,0.5229672,0.2883364,0.6029962,0.2853572,0.7349712,0.3308953,0.2601641
17,"1983",0.07795641,0.02967595,0.2520356,0.03914636,0.1427496,0.1727316,0.08104538,0.1731901,0.252488,0.07479892
18,"1983",0.04874978,0.008891399,0.1878199,0.009547505,0.09798209,0.1104101,0.03755094,0.08172183,0.1903798,0.05444955
19,"1983",0.06455116,0.009100144,0.1839325,0.02294999,0.06154671,0.1406329,0.01232596,0.07404253,0.04858961,0.02135009
20,"1983",0.05279863,0.00015936348,0.1490131,0.005274134,0.0330188,0.09654445,0.001322824,0.015043,0.00090779737,0.004818215
21,"1983",0.06799227,0.01192467,0.1463853,0.03037697,0.04700759,0.1010649,0.03068909,0.02889073,0.001936531,0.01369822
22,"1983",0.08682083,0.05423191,0.08157051,0.04361345,0.08553123,0.07332312,0.06671905,0.04935052,0.01516966,0.02611283
23,"1983",0.1026969,0.08082478,0.0710642,0.08893757,0.1048687,0.07678736,0.11287,0.06667475,0.0224422,0.04386754
24,"1983",0.1919788,0.1818686,0.1283506,0.4001882,0.1800466,0.1758996,0.4730601,0.3962798,0.127292,0.2012624
25,"1983",0.02719867,0.001361573,0.04798491,0.6298213,0.05529909,0.1561533,0.4759871,0.549109,0.02131127,0.07224602
26,"1983",0.09912734,0.04317163,0.1189385,1.095292,0.1580724,0.2588735,0.7001178,0.8840258,0.1518833,0.1950889
27,"1983",1.068768,1.328645,0.7228438,2.808004,0.9660696,0.7869893,2.133093,1.790168,1.160743,1.53795
28,"1983",5.07649,10.71128,1.403218,6.6591,2.772282,1.242308,23.8382,4.548372,3.399661,13.56603
29,"1983",9.04625,14.75423,1.999219,15.56918,3.78505,2.461337,22.04603,17.06763,5.445094,13.94781
30,"1983",7.697474,15.35843,3.160304,19.16937,3.265179,5.004257,26.73051,19.07438,4.456003,27.21992
31,"1983",12.3568,24.95378,4.277301,8.961196,5.418032,5.297577,35.69569,8.103057,9.778997,25.32431
32,"1983",23.60079,36.55521,7.617195,25.48889,7.885744,13.92492,26.86453,26.96421,22.20599,24.38972
33,"1983",37.06858,72.158,21.08079,61.41167,22.02027,28.77798,64.47134,52.88045,19.94832,43.55428
34,"1983",77.56628,88.77823,49.59708,63.23261,58.24073,40.67064,68.21128,59.52464,76.51648,68.23392
35,"1983",62.13125,78.32793,71.07883,80.93587,42.20131,91.62658,75.82873,92.18341,39.37947,57.70004
36,"1983",72.9604,96.58665,76.90063,88.37126,52.13571,117.0773,77.59426,116.2565,58.29089,73.11362
1,"1984",33.167,52.98257,57.60048,92.39428,36.24282,81.84811,80.99953,91.37842,24.30675,32.79276
2,"1984",61.39797,77.91549,44.42975,94.50872,40.02299,77.02138,77.79456,92.312,32.64427,52.44448
3,"1984",37.69363,78.52281,42.23996,79.75496,30.48472,60.7235,86.26903,89.15668,29.97054,51.73858
4,"1984",100.8935,88.48902,80.08205,75.71741,95.51289,88.53014,76.74543,74.95169,86.26878,85.11141
5,"1984",45.49162,56.98037,44.32146,67.69766,26.38273,89.41137,61.66723,77.70095,28.02706,35.35334
6,"1984",65.55206,60.50252,84.74781,84.66524,68.06697,70.03045,72.32053,92.75837,28.05157,39.82823
7,"1984",60.60633,69.46888,77.12283,61.99976,31.52941,60.87299,61.24256,55.83992,36.1326,52.29532
8,"1984",22.14932,23.48588,25.8376,53.79738,22.32582,39.1175,39.89349,71.86372,16.02122,29.73803
9,"1984",38.95906,55.6504,27.03743,62.60205,25.78551,36.26834,56.13603,59.02462,51.81608,62.49274
10,"1984",9.94119,15.51234,10.14507,20.41292,12.80025,13.39863,13.47828,21.85426,10.42952,12.81617
11,"1984",1.986621,2.771057,3.474596,9.843182,1.631923,5.059213,7.192456,15.2904,3.07086,6.682053
12,"1984",2.269817,2.400439,5.212823,9.53856,2.053577,7.991594,3.961147,11.82842,3.116781,6.489776
13,"1984",1.460008,2.174816,1.340991,2.298889,1.345204,2.224229,2.320323,2.554545,1.789352,2.270461
14,"1984",0.5324972,0.3986245,0.7465309,1.398565,0.4305375,1.733791,0.2896081,3.037707,0.4267706,0.501317
15,"1984",0.4192926,0.09345394,0.7799913,0.3506052,0.3514845,1.365896,0.06312764,0.8530515,0.3659711,0.2091747
16,"1984",0.2929274,0.2959221,0.5677781,0.5454549,0.3137029,0.8929918,0.3407674,0.9571184,0.3703706,0.3069549
17,"1984",0.07991716,0.0299334,0.2588214,0.04260026,0.1538712,0.2148729,0.08185826,0.1947614,0.2990549,0.08324485
18,"1984",0.04919726,0.008795097,0.1933461,0.01022615,0.1101662,0.1140994,0.03761676,0.08627173,0.2010346,0.05767654
19,"1984",0.06345385,0.009092529,0.2065081,0.02330794,0.06006449,0.1562459,0.01228608,0.07763786,0.04842852,0.02140906
20,"1984",0.05297592,0.00015935997,0.1517489,0.005293101,0.03316023,0.09842791,0.001322967,0.01511213,0.00090742653,0.004818186
21,"1984",0.06267914,0.01150929,0.1354365,0.02918089,0.04441101,0.09573141,0.03064904,0.02815066,0.002033525,0.01346027
22,"1984",0.08225784,0.05262237,0.08209406,0.03358588,0.08126814,0.06627127,0.06305856,0.02659366,0.01364626,0.02414239
23,"1984",0.09686483,0.07973061,0.06330597,0.0827613,0.09741233,0.07341478,0.1151048,0.06247775,0.02125436,0.04174831
24,"1984",0.1807595,0.181493,0.1136559,0.429027,0.1717526,0.1682536,0.5012975,0.4173581,0.1178645,0.1974981
25,"1984",0.02700059,0.001540478,0.0472288,0.5969168,0.05283323,0.1542484,0.5852196,0.6239374,0.02148205,0.06462762
26,"1984",0.1135311,0.0486011,0.125042,0.9720758,0.1613148,0.2624655,1.208412,0.9658095,0.2407647,0.3620815
27,"1984",1.096461,1.501604,0.7481744,1.980998,0.9704472,0.7548005,2.479887,1.671908,1.279012,2.012932
28,"1984",2.729188,6.533924,1.077047,12.99643,1.821326,1.157599,16.51135,8.886373,3.053164,9.15969
29,"1984",2.701863,6.360147,1.579864,7.979675,2.081572,1.492407,10.51809,4.425026,2.497591,10.84215
30,"1984",6.130637,12.90827,4.497121,7.53267,3.303029,3.607589,26.2428,5.539943,9.522627,14.63863
31,"1984",47.57558,74.81121,37.95725,59.04329,28.23252,39.02585,69.31836,43.79469,43.3628,48.27103
32,"1984",47.76112,90.08236,44.50889,86.05743,27.93447,89.0732,60.88831,110.1124,30.6521,46.7928
33,"1984",7.839569,10.02341,10.49663,14.61689,7.459764,6.737346,21.36157,9.957208,7.406321,9.611145
34,"1984",105.0498,147.2591,81.86079,100.2682,99.9192,97.99936,89.25814,77.91187,68.02065,58.29622
35,"1984",88.98836,151.0049,105.7339,116.3203,84.83136,117.4882,75.98098,110.2986,31.7649,50.74104
36,"1984",87.06061,133.9313,90.02019,134.371,69.72192,87.68839,100.123,94.40038,38.68425,46.52372
1,"1985",53.38815,71.72743,85.06748,59.17276,52.14658,72.4062,60.97956,52.43336,45.87403,32.51713
2,"1985",91.10857,108.5007,83.45747,92.09415,81.69405,64.33345,93.76009,81.84756,67.97904,70.75047
3,"1985",98.56538,124.6719,104.2935,81.16727,119.1896,90.48671,86.51661,72.94465,92.39812,76.9691
4,"1985",102.6965,111.5315,95.02232,93.9043,153.3447,85.50643,79.54152,87.86269,136.7616,79.59319
5,"1985",72.97591,76.38554,66.96606,76.71555,35.12879,72.72049,75.961,72.37299,32.07872,60.88589
6,"1985",13.17589,21.18416,23.844,81.17152,4.441872,53.11477,37.16655,74.64294,8.210222,12.64212
7,"1985",44.80999,74.34052,68.82874,75.39154,23.06968,69.7368,64.12498,61.85445,26.71585,35.75937
8,"1985",41.49928,58.1556,60.5667,42.59286,42.37287,50.79741,73.39291,62.39273,32.09617,52.08607
9,"1985",43.77518,65.90097,46.45706,92.97501,40.81678,67.04992,65.50784,88.98159,16.85147,24.61297
10,"1985",15.45171,39.45229,34.23634,70.01858,7.735042,51.85749,43.03819,85.30322,5.355793,23.94948
11,"1985",4.306399,8.820004,5.194009,4.525891,3.018645,9.13664,6.606739,5.271674,2.475747,5.796131
12,"1985",4.283264,10.01027,5.037127,8.459403,2.429199,5.95223,9.121374,9.128437,2.262916,9.904644
13,"1985",1.878716,2.297236,1.883409,6.653663,1.777308,3.435588,2.752548,6.416912,1.40615,2.851808
14,"1985",1.150252,1.813062,1.1013,3.941584,0.7099516,2.31065,0.5366757,3.232407,0.6225197,0.5677086
15,"1985",0.4435609,0.111569,0.8362081,0.471587,0.3738177,1.44069,0.08185226,0.9772479,0.3959651,0.2366861
