"dekad","year","1","2","3","4","5","6","7","8","9","10","11"
8,"1982",7.071851,0.9702019,17.3956,79.38198,41.40811,0.2700484,40.51604,14.42491,10.04119,3.475151,70.58625
9,"1982",24.9533,9.052848,34.97813,85.198,54.90524,12.5372,42.32223,35.97324,24.39936,16.39162,53.80587
10,"1982",20.63714,2.490847,29.71777,70.49744,37.17328,3.175296,56.40792,24.29651,18.01072,5.157235,54.67664
11,"1982",26.5477,6.348374,47.7819,51.12143,36.77148,13.36831,45.24514,45.64709,30.65781,15.46363,69.42379
12,"1982",6.644322,1.29259,7.04482,0.03538758,6.946248,2.598364,13.07801,2.394249,8.138393,1.575188,12.09236
13,"1982",3.538338,7.509066,3.826785,47.41053,20.5066,4.851565,12.58068,16.04845,6.60945,6.978521,29.96356
14,"1982",0.03209388,0,0.05123461,0.01165545,0.9470433,0.01965273,0.05214884,0.2419845,0,0.1367346,0.4939129
15,"1982",0.1285449,0.03335012,0.05874963,2.948549,2.514659,0.3821476,0.1705895,0.8169777,0.02560253,0.4058594,4.81173
16,"1982",0.1393229,0.1394287,0.1161751,0.1093628,0.3237081,0.1878566,0.1531654,0.2037763,0.106307,0.1474032,0.2285809
17,"1982",0.0516595,0.1759996,0.02178586,0,0.2031879,0.1119241,0.03465201,0.1798034,0.01766267,0.065331,0.1430701
18,"1982",0.03301711,0.1453095,0.008005493,0,0.1073951,0.08395454,0.008178233,0.1238432,0.005283821,0.03936137,0.06956325
19,"1982",0,0,0,0,0.002085441,0,2.7696598e-05,0.00370192,0,0,1.0369041e-06
20,"1982",0.004578134,0.00056072482,0.00134899,0.1211313,0.08352997,0.03540705,0.00097648648,0.1339029,5.8094654e-05,0.04706257,0.00760221
21,"1982",0.008718533,0.00083328952,0.01851547,0.113292,0.0862956,0.04791912,0.002772973,0.1225463,0.005722849,0.05618305,0.008433575
22,"1982",0.01154261,0.005842334,0.03576848,0,0.07030524,0.07623594,0.0233504,0.07180297,0.04277514,0.07780748,0.01417393
23,"1982",0.02046491,0.008381569,0.06420503,0,0.07359412,0.0900069,0.04812781,0.06325696,0.05323448,0.08854982,0.02834277
24,"1982",0.00012706553,0,0.04111904,0,0,0,0.001765748,0.002036517,0,0,0.001605496
25,"1982",4.335839,1.452628,2.885705,0.007080501,0.00094363932,0.7589754,0.386646,6.0449611e-06,0.01968872,1.074839,0.3116682
26,"1982",0.03709002,0,0.6389487,0.002935236,0.00049152918,0,0.4904867,0,0,0,0.3711446
27,"1982",0.9407206,0.2548521,4.106929,0.01507414,0.04691962,0.1624138,0.8638958,0.001138032,0.6391271,0.4427315,0.9356862
28,"1982",5.628723,1.048399,24.96951,1.004666,2.119397,1.474495,10.1757,2.096012,8.542439,4.441921,8.664683
29,"1982",28.56541,44.39523,44.79428,0,1.015422,17.2377,24.47631,1.540977,37.45887,20.03512,5.361366
30,"1982",9.850179,10.97897,29.13205,16.84038,19.43952,22.28582,31.47041,20.48414,15.83105,14.08207,24.78922
31,"1982",33.47985,7.840817,51.43122,13.99417,14.75757,0.8416883,24.91566,5.474354,31.76234,12.7987,19.99388
32,"1982",43.09031,9.9856,70.35152,57.70964,67.75051,6.092457,70.05486,28.2647,64.28829,28.55787,82.0328
33,"1982",73.53693,41.44294,95.35549,177.5531,85.00926,64.74511,99.20204,79.89798,106.5789,91.43513,135.0982
34,"1982",56.36987,38.14296,68.47978,77.72736,66.31223,50.46117,108.7024,49.77338,75.22404,47.83143,94.61929
35,"1982",21.50904,14.77302,64.65485,27.44345,77.69958,53.19315,104.2779,80.63645,75.82786,43.46951,88.08473
36,"1982",45.49289,20.00468,46.1021,97.55039,69.02769,22.67,94.45752,34.98072,43.54529,29.92198,119.352
1,"1983",36.48476,26.74547,58.45148,54.83892,69.37408,31.10249,65.38932,53.23915,56.65132,42.92963,69.9231
2,"1983",59.33691,52.84528,71.28903,24.63747,60.37761,35.56346,52.03664,86.368,69.01185,60.50109,73.78243
3,"1983",99.24997,112.9087,78.80936,54.08881,73.42319,105.1384,112.1168,70.74046,165.1871,132.6835,102.7669
4,"1983",61.61616,63.90866,96.32468,24.27741,62.50842,91.6345,77.12045,75.96067,113.913,94.79481,58.23326
5,"1983",23.77177,26.36197,57.80875,80.15671,107.1944,61.81494,110.5695,85.29655,89.4035,55.27739,78.33333
6,"1983",2.677636,3.074243,1.67081,37.95776,11.25943,0.5487486,32.09319,1.039594,0.1380294,1.287561,37.36224
7,"1983",53.41843,33.0422,61.0758,59.77496,59.61353,34.2227,64.58547,51.45328,73.27811,51.46651,70.22161
8,"1983",26.02958,6.180222,51.53388,61.24148,40.87816,5.511434,68.02721,11.59631,41.60645,15.74724,72.23116
9,"1983",28.45215,22.88726,39.77174,35.86273,19.06349,11.72921,26.69938,11.32341,19.34356,18.99204,31.20584
10,"1983",23.88369,14.98672,27.41203,2.42998,32.2914,0.5680907,59.31576,40.09087,54.2879,12.35562,65.6278
11,"1983",21.15284,7.525499,15.80801,0,6.338232,0.008568186,20.6188,3.385371,2.762541,2.014556,23.31906
12,"1983",0.4714663,7.1174,1.987354,2.757621,3.293166,17.81618,5.261208,7.156601,7.449097,9.164237,15.18986
13,"1983",7.333889,8.985726,5.249706,11.56902,3.674017,10.38619,0.8744187,3.964406,5.104871,3.439926,6.197515
14,"1983",0.0660161,0.1501749,0.008860153,0.4131132,0.672799,0.00024727854,2.316832,0.3693164,0.00027420133,0.1550262,1.51351
15,"1983",0,0,0,0.001562287,0.03671548,0,0.002860981,0.007302469,0,0.002689531,0.004410211
16,"1983",0,0,0,1.281318,0.2460895,0,0.07068966,0.001440088,0,0,1.678466
17,"1983",0.009028686,0.01047867,0,0,0,0.03363387,0,0,0,0.00226618,0
18,"1983",0,0,0,0,0,0,0,0,0,0,0
19,"1983",0,0.06179615,0,0,0,0.05084731,0,0,0,0,0
20,"1983",0,0,0,0,0.007579835,0,0,0.001549607,0,0.1193932,0
21,"1983",0,0,7.5927455e-05,0,0,0,0,0,0,0,0
22,"1983",0,0,0.001903692,0.5790014,0.3097449,0,0.6376774,0,0.006330448,0.004387782,1.887392
23,"1983",0,0,0,0,0,0,0,0,0,0,0
24,"1983",0,0,0,0,0,0,0,0,0,0,0
25,"1983",0,0,0,0,0,0,0,0,0,0,0
26,"1983",0.03210372,0,0.7569103,0,0,0,0.3625576,0,0,0,0.1554387
27,"1983",0.004813293,0,0.03180968,0,0,0,1.333813,0,0,0.03884553,0
28,"1983",4.066183,0.2641467,5.523262,0,0,0,2.471948,0,0,0,1.797764
29,"1983",16.69292,9.872846,30.38141,0,0.8766088,3.667259,16.86423,2.236853,23.2354,12.14609,15.1923
30,"1983",23.41154,1.81243,27.9007,0,1.093607,2.182422,20.00105,0.1987354,12.93171,3.928705,14.4768
31,"1983",11.8031,3.516475,18.61965,0,0.5674376,2.973728,2.259629,1.450155,3.961005,4.443264,1.803877
32,"1983",29.03015,21.94659,48.4412,17.83359,12.54173,16.94662,27.27897,14.36913,46.66799,30.41193,21.52399
33,"1983",55.03275,26.61437,56.6308,21.67725,27.37071,27.56567,65.76916,23.84162,67.35229,44.7761,38.1437
34,"1983",50.86777,87.66849,73.31338,19.45971,35.14487,67.55732,37.62865,56.73781,73.11169,69.40272,40.2327
35,"1983",61.99474,37.68521,78.26971,75.25311,76.25768,32.07769,80.2104,53.18682,92.07201,56.46266,94.14659
36,"1983",76.28504,67.08295,54.73259,157.6841,144.7589,57.02401,119.7445,87.13275,127.2299,86.45998,150.2122
1,"1984",40.68979,26.42335,88.53297,114.1722,88.39237,33.34168,110.1661,55.7704,94.56025,46.41433,110.1759
2,"1984",43.12986,20.44281,62.92468,62.56237,68.1735,26.40637,86.30704,52.99487,54.63747,36.57082,82.08872
3,"1984",54.49588,17.53792,67.44949,78.24934,48.3265,32.23449,75.84768,35.62263,48.04148,31.60097,79.35206
4,"1984",84.1004,79.87217,73.53936,72.46035,79.91025,85.19197,48.10379,71.03587,93.04079,99.37701,68.82297
5,"1984",25.52964,17.82745,60.88099,76.80751,74.52895,31.59245,75.16238,41.05663,63.43651,37.07762,78.02491
6,"1984",32.56947,18.59398,46.85269,99.40363,75.33328,31.3728,76.37809,53.36483,63.08938,50.28647,92.0101
7,"1984",34.96944,17.05714,49.61185,69.89864,54.71555,26.96659,55.81855,72.41859,52.326,48.23339,50.38379
8,"1984",25.42738,12.39291,39.72098,84.33707,41.5115,24.43369,49.61395,21.78514,16.88845,14.68607,65.08444
9,"1984",91.8046,62.62564,77.06917,59.14925,36.19707,39.44792,94.23968,28.25793,73.62793,61.33388,76.77374
10,"1984",14.18223,9.362551,13.17232,0,13.03715,10.35822,25.12635,7.447796,16.07526,6.916703,22.48529
11,"1984",2.894301,0.5697182,7.239308,2.728072,3.860706,0,7.538047,0.2115065,2.553961,1.242217,19.37862
12,"1984",0,0.00722615,0.1375912,6.525634,2.281965,0,4.910457,0.2012124,0,0,6.139811
13,"1984",0,0,0,0.5303517,0.1982126,0,0,0.003691361,0,0,0.07017345
14,"1984",0.2164009,0.03199471,0.9120038,19.84008,1.212674,0.03635161,2.50663,0.7292971,0.2953268,0.1767011,4.05838
15,"1984",0.05969191,0.683411,0,0.001966842,0.01419003,0.00022389326,0,0.02281998,0,0.03642442,5.7128083e-05
16,"1984",0,0.001017724,0,0,0,0,0,0,0,0,0
17,"1984",0,0,0,0,0,0,0,0,0,0,0
18,"1984",0.003226457,0.04507558,0,0.00098342076,0.02029665,0.01570093,0,0.337846,0,0.04573739,1.6441307e-05
19,"1984",0,0,0,0,0,0,0,0,0,0,0
20,"1984",0,0.001117921,0,0,0.0227341,0.03024573,0,0.5382991,0,0.08557751,0.00041816151
21,"1984",0,0.00037092381,0,0,0,0,0,0,0,0,0
22,"1984",0,0,0,0,0,0,0,0,0,0,0
23,"1984",0,0,0,0,0,0,0,0,0,0,0
24,"1984",6.543428e-05,0,0.005014537,0,0,0,0,0,0,0,0
25,"1984",0,0.001559424,0.00116708,0,0,0,0,0,0,0.00018962285,0
26,"1984",3.045524,2.040372,1.45355,0,0.00019835228,0.05607998,0.08496553,3.264927e-05,0.03254276,0.0298903,1.3560606e-05
27,"1984",0,0,0.5808882,0,0,2.4316686e-08,0,0.01490118,0.04988442,0,0
28,"1984",15.70373,3.771962,22.21905,0.009755641,0.1993175,0.1846181,12.12991,0.004490279,8.948629,5.225653,6.336777
29,"1984",13.26683,0.991006,6.168736,0.1350899,0.0593613,0,6.575467,0.00433029,0.07770137,0.4781772,1.639278
30,"1984",11.78111,7.336404,13.83201,0,0.6989824,0.3968173,2.102875,2.668939,6.352178,2.599295,0.2345933
31,"1984",46.36091,26.49432,60.48878,12.51787,35.61012,40.60805,66.48681,47.59028,68.53473,46.98015,44.18168
32,"1984",15.90338,13.68738,45.48748,99.09956,73.93814,16.91268,87.04018,40.91203,52.48666,28.49666,109.1691
33,"1984",64.63519,51.35649,57.43193,20.77858,28.69853,7.406847,34.49758,19.57217,37.80264,23.71518,31.46317
34,"1984",55.07838,54.87173,82.76894,105.2418,86.09238,88.40681,100.1402,92.34928,148.7312,101.502,66.70319
35,"1984",81.71231,59.11195,101.5317,97.3893,128.8221,106.1044,142.8501,132.9131,197.9418,131.3048,117.0938
36,"1984",30.70628,36.88815,62.20771,86.54458,68.56624,58.46135,95.22867,57.35079,78.82536,61.0675,82.3476
1,"1985",46.34906,36.49654,72.97659,47.646,75.83492,54.13344,92.38938,82.41567,78.66592,49.67811,62.74384
2,"1985",65.65681,62.16008,90.56524,24.55961,54.49688,76.2399,86.22576,88.38719,86.53712,86.41746,81.54876
3,"1985",78.01435,112.3523,90.61923,80.1124,97.2229,101.3354,90.36643,110.9358,163.2412,108.6996,82.20165
4,"1985",83.19181,118.9914,79.7388,83.36272,91.32232,168.9372,84.78941,109.4313,112.9117,122.4609,79.25634
5,"1985",46.50831,18.63893,54.93537,39.48891,48.72076,22.2025,49.86944,45.70979,37.53997,35.03297,71.72517
6,"1985",9.915295,2.749637,48.63225,61.43398,62.40047,0.824822,94.71867,36.76986,23.70724,11.78374,91.04332
7,"1985",32.53473,27.76145,36.47798,41.7924,54.10638,18.39909,65.36949,57.66269,61.56199,31.88574,50.88305
8,"1985",55.23124,42.77149,75.82165,34.13133,73.01003,54.21771,65.58657,58.85525,62.42225,58.90842,87.92174
9,"1985",27.31633,9.21314,80.87791,74.73708,47.29952,26.22472,91.3251,42.84617,56.11046,35.33619,83.82785
10,"1985",42.38935,10.71661,57.67933,0,61.19265,16.17939,76.57718,53.29928,53.14792,34.53174,94.28199
11,"1985",0,0,0,3.750124,1.91461,0.001380801,0.2161664,0.5094611,0.05365053,0.1797637,0.8906018
12,"1985",5.806272,0.004177262,0.03907007,0.7799517,0.1561563,0,1.121608,0.02719962,0.2955496,0.08242,3.914052
13,"1985",0.6897427,0.1084516,0.6706588,0.6110225,0.7979511,0,6.844001,0.01268977,2.131126,0.03905051,6.302076
14,"1985",1.184286,0.5589868,2.048613,5.683152,2.832008,1.261664,7.597939,0.5548527,9.834443,2.365168,4.608151
15,"1985",0,0,0,0,0,0,0,0,0,0,0
