"year","month","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
"2000","Apr",6193.26547681087,7017.99582902809,6479.75154554762,5042.92098568265,7099.91392312094,6329.40207566648,6057.0099247729,5604.35474610353,5990.5708193022,6510.39109552958,6832.38742683129,5937.84999719862,6483.88567153509,6286.41342403201,7081.11266426687,6398.71635752934,7101.97884913403,5409.88632692992,6183.56714764411,6530.7487037023,6229.47489965443,6078.57992836065,5622.74932290967,6983.2309616101,6697.20102548693,6351.94298066097,7247.98921616498,6206.79536388262,6443.35658445803,4896.18947804022,5945.40081946632,6742.44152735699,7064.21753626374,6745.16085211379,6534.66419594235,6362.95530303197,6891.43435081265,6985.35061097984,7157.86362250689,6841.14386622848,6335.55002148516,7187.50388499554,5904.20964581999,6141.11731984068,6323.74124536244,5524.17994933276,5555.66779385848,6368.6709135594,6446.24094690063,6531.08438474211,6135.48132208611,7312.55140223682,6720.11474963277,6871.51766494964,6107.75726675587,6183.09441942738,7066.73518901441,7065.57080801768,5085.25831261979,6762.45089325007,7142.29378388941,7058.23275502856,7300.02872898984,6760.6039699204,7508.36368986104,6907.1956145373,6101.69495532459,6770.99700361655,7058.06401586549,4932.34953373533,6578.35732471481,5417.60477767767,6166.23142824967,6452.74608749338,7005.12799138296,7097.46530698751,6902.57184815468,6588.47842005531,6993.18691679626,5761.03837755913,6846.03572016102,6281.76215934888,7179.07505707893,5436.8368779542,7061.08103269726,7027.31567206033,7086.96163719065,6237.38696366773,5051.88916726917,5982.3876752913,6140.70356101021,6296.8580779556,6682.83538125045,6472.52119798646,6619.02823659917,6887.20794951747,6685.2668493192,6644.55305236675,6227.00889775196,5974.04365165054,5340.10563768139,6612.27973958039,6574.997192348,5763.15424088403,4979.94705262247,6259.21601586687,6601.09111608148,5585.65836833559,4839.2081837886,6053.76665211526,6118.14144408042,5319.2477560561,7128.10450951589,6958.99395547098,6225.45243713545,6057.93826759841
"2000","Aug",3679.84994930277,3530.85640886809,3666.03382932621,3200.47768453706,3853.20259362605,3187.97830016953,2830.73166543446,2927.79470806555,3533.88193731468,3129.47741905799,3973.18335183093,3554.9260191356,3620.06338424889,3811.28702817188,3317.47137396104,3436.86004319685,4189.55954496516,3271.83418306604,3205.77260749766,4303.17552239288,3451.09415047243,3210.55484014431,3322.68914859025,4625.15050155758,3647.63963685548,3253.6510265261,4917.80643427681,3135.6585104947,4047.83414124801,3231.25193184327,3028.39705230881,3888.40215196444,4545.38692526052,4325.03282006168,4143.08107812408,3560.5662156025,3176.88268939151,4383.75284933073,4148.38916431673,3092.84658594467,3296.05374563838,4329.93745882884,3097.82016229698,3541.01418890763,4405.30001280959,3602.50863870369,3009.86495194667,4000.11307059031,3623.32048608145,4222.8909912087,3209.50755631607,4262.64778571027,4568.10185065677,3623.7323458159,3313.36337975915,4429.20334056347,4442.26209663459,4259.48431075449,2882.46948250549,3471.94316443256,4392.09349579981,4011.85728807628,3369.63851646147,3893.49036062388,5135.10860243883,3793.60187120398,3446.16575042877,3773.88279149275,4043.85011565653,3183.63452942799,4286.99340438673,3753.74851968588,3078.27735843312,4192.88069757461,3953.37392507575,4252.4297441819,3501.96849013329,3709.05741663073,4042.3861815065,3526.56311153864,3434.91156542415,3741.11040060086,4439.57670953221,3088.46255887103,4387.3787592815,3747.52519028791,4825.14426147224,3285.86789143913,3562.39953048757,2905.95464643761,3831.44137744475,3455.65216089522,3907.89104540178,3757.05795066722,3107.08223399953,3848.30489895251,3956.91760809957,3185.20608098185,4232.73236810933,3356.28903826837,3498.95078732443,3874.69840922599,4176.90491327271,3249.8858006169,2869.53963853592,3166.71157158832,4601.07615242323,2984.64455028947,3275.23597273661,3350.57847810878,3176.09105958836,2838.27005649952,4543.01746054215,4168.90838989318,4143.95249589213,3325.085767164
"2000","Dec",5099.24310146023,5405.25664152524,4445.32538656615,4261.91054506695,4829.96724253042,4374.09158002358,4152.67552160655,3870.88511248037,5809.41123547269,4678.87831600843,4575.88186126471,4943.64653465176,4116.72090697634,4936.75823673454,5967.54222883046,5299.37545296965,5853.94110114379,5352.4145280541,5077.89964276161,5816.99862035842,5892.67388534048,5369.98190415744,4865.36571567149,4904.53264028717,5335.01507326977,5541.44435879407,5731.72164448805,5208.02143302636,5656.96431659457,4631.78672448532,5312.50561841433,4033.75558513322,6410.41242799799,5785.431870366,5027.4133069806,5128.25514523384,5115.0265273202,5190.59041691537,5831.75115487501,5410.23467985158,5256.3597645003,5397.54680786774,5444.06593874989,4257.43902115866,6144.55010953885,5522.03939721458,5366.11803056267,5258.78420242583,5917.19899110668,6352.95469605986,4341.93803829872,4724.13444959892,5118.64253472114,5708.40149355225,4598.90082646858,6005.53041996477,4691.82771813298,6189.79598998913,4360.68806219467,6433.10613777433,5735.23855954026,4927.91659259773,6404.21145444435,5337.89477374091,5929.90836216939,4844.63061390824,5480.99986967398,4686.62266063273,5085.58057874228,4303.0303781527,5910.61857023424,5637.79854379782,5566.66221103298,5723.94494942517,3884.98223479408,5856.23671518139,4793.70144293986,4658.34518713827,5896.77077432169,5456.36520514045,5481.24680667603,4661.76751984144,5659.58927014491,5524.1531128698,5987.48298034562,6845.73627122777,5652.17374567413,4920.6096531982,5438.37674299509,5090.9999213068,4239.46944378977,3881.92693431536,4629.10220389822,5001.6137017761,5472.98471549609,7157.28034039589,5898.70481398992,5903.69078722966,5896.67437817755,5068.88358066331,5316.86067526077,5139.02477912395,6082.09333372739,5168.27722365038,4411.9428815787,4821.1286343047,5297.41910800779,4732.26109398475,4652.16797201844,5322.08094283171,5252.31389918126,4482.4984124596,6180.47595497085,6188.78338247141,4906.06407123366,6031.74091802981
"2000","Feb",4627.30815056292,6689.98871791497,6567.81426926599,4955.13603922411,7422.10775273423,5550.79541166599,6209.72313601747,3542.13935564629,5196.19714253332,4835.81773618676,7233.30834174861,3646.05298647132,7015.99335662913,6913.16844829569,6918.60349485069,5595.58199695921,6769.37471038837,4079.65585975833,5645.50325717836,5290.96454953752,5734.16967550251,5180.41599523413,4849.40656559567,4182.59216363416,6936.89804225368,6092.91464710989,7144.98165519758,5623.57690573737,4628.91921228797,5285.21329059027,6079.20287533206,7271.89034996372,6686.55317692586,5046.85878298279,6492.79055666732,5518.77925089196,6155.3769979836,5503.66353913031,7020.97926009334,6606.4971305123,5340.52839297383,6459.01618855555,6348.77639090342,6747.77733993833,6397.22020544778,5517.32197878239,6089.75551690665,6641.03329906766,5482.9211736027,5152.51165354599,6851.42650542665,7441.44109972037,6844.04270915046,6600.39299654579,5787.25599927016,4450.20565053188,6095.21935985733,6532.54117897174,4648.68466424046,6330.58112256282,5564.80679419199,6458.67055176626,6669.68011122708,7177.33239240377,6725.3312498157,6822.61638711464,5276.19095873123,6766.7692431438,6377.6863016298,5515.6856527279,5095.02744980097,5364.15602746917,5070.12939599129,6939.56355988909,7004.5960915329,6175.82547993298,6822.69455234522,7151.21820073502,6643.0169502609,6208.62755867031,6244.13981769182,7017.08076001139,7109.23980105025,6290.26695622074,6156.1844122784,7225.94661348475,5580.52317860941,6736.13654274261,5600.23983489139,5303.30928114544,5665.09354898591,6548.34178275944,6746.53377507918,6595.93347744449,6595.20487662754,5034.8692192494,6033.05086816808,4635.23255102388,4987.62324292434,5955.46643066108,5310.10610239979,6830.72117443638,4931.66607365577,6497.70480925933,5269.86920815634,4926.48528740298,7144.57990046889,5062.98319160109,5057.87371736755,4740.9362126517,4432.388898141,5972.03288449026,6108.29418329949,7208.69107060833,5787.187346754,6015.15570036252
"2000","Jul",4218.12391672023,4157.26632798633,4268.05543207647,3471.52130755422,4616.34075439647,3519.75134160887,3994.57006608654,3791.52313129128,4150.65307917395,3599.52010495611,4476.59174878064,4168.87602162545,4050.50701998194,4342.62075056495,3901.69514131048,4030.28523850825,4925.77766035743,3785.11802585817,3733.00180243886,4983.60140847487,4041.26614642852,3729.05432816446,4243.07308655748,4588.80325663886,4231.2100141092,3909.4585231932,5743.76742529536,3545.52651538392,4675.71489433209,3611.01375369137,3675.96193145526,4320.81928087241,5069.14441260209,4825.46165715207,4862.59129982003,4142.15259008582,3772.90675521673,4933.30923588192,4987.28247997303,3597.58497068921,3818.07218110821,5061.8550548484,3793.06412599778,3889.38872192796,4960.34966271537,4139.0380687913,3650.20315759858,4731.92763040517,4225.12623173288,4928.71521937484,3608.6891748454,4945.87790766108,5165.36388754689,4276.87692323203,3866.53039806593,4813.16555731745,5033.77390816821,4780.96746768731,3168.60101928612,4073.02778467022,4981.81019313879,4617.05864665761,4041.23096039178,4488.61950825316,5804.58103150449,4420.73884386446,3885.11427090236,4220.8378408549,4542.34884615938,3521.20720904847,4956.39005334656,4259.64263786625,3646.67563986996,4774.71285703196,4642.74334022907,4918.62670166796,4176.15893282679,4198.39819382522,4684.27887661846,4157.37533434578,3984.7030709518,4325.2023948964,4957.98485798621,3642.79482115468,5030.7561601632,4558.54514186682,5157.01236224169,3780.57420145761,4055.16185921707,3404.48060434629,4677.23979579459,3742.69358585765,4351.8419565847,4311.06972249895,3468.02045583519,4798.04050889802,4608.89092241447,3805.45519989214,4980.07080478641,3989.72204823216,4015.91022181515,4390.57549191662,4953.7802869868,3875.1522362844,3296.88555412847,3537.43949093274,5090.35445380192,3582.20781323829,3674.86198040349,4327.31077752781,3631.43634791825,3281.34958682883,4788.73910154524,5011.31803542387,4694.97254334999,4001.8170885734
"2000","Jun",5025.60848788038,5112.75309225803,5189.89964866178,4103.96192603198,5247.82221047295,4411.56522860606,4734.4087871198,4428.25476646688,4952.91211845353,4576.19873415298,5089.21484464106,4823.18794937898,4707.85791590456,5027.28128831498,5025.74179838671,4742.8179004283,5493.30238107116,4372.5635495637,4428.91855791379,5554.13109073417,4911.78698878652,4514.72799148775,4920.21560146306,5274.23748924851,5108.99721150987,4759.42997311706,6379.68793762851,4196.03999969056,5351.49900462936,4115.40488461499,4523.54855041087,4876.51774957776,5735.68887710336,5427.44415246175,5502.17048767327,4727.88108749098,4584.77471794493,5514.23298950691,5743.91401929701,4591.93882985388,4678.60388782269,5697.58204705023,4570.54931817137,4453.67754424032,5583.88857369748,4796.14408980893,4221.11945858255,5329.77761673379,4997.54872994697,5520.70642878702,4304.76710566084,5708.98108479778,5812.70082892702,5272.21721154039,4412.00543790293,5343.66961192487,5611.3946425611,5298.93430210977,3601.2277520625,5241.10236094758,5542.80947561382,5498.2077298453,5288.0247644453,5058.33342246035,6553.21317568151,5194.15690418862,4722.52211191017,4900.26476072156,5126.76654364271,4066.70332338934,5413.78574294267,4834.23433107795,4719.77768873383,5421.3113416142,5330.02691315682,5560.08983577448,5172.978742422,4781.09051247259,5456.28423063009,4796.67274772639,4901.167419667,4992.70995172419,5700.63849056444,4307.74384378695,5693.71458852035,5230.1093306394,5816.37177099341,4590.24971468917,4663.17524430988,4407.34023688015,5463.98433014785,4352.61496020618,4991.40488305611,4980.74210386892,4195.41460817911,5796.11174218816,5446.5382830426,4747.19477639089,5707.77750350373,4631.65709778275,4573.99490316942,5015.11394214321,5525.05709446988,4545.53466330881,3896.31483195037,4492.80651512216,5609.48918272692,4344.0793025671,4093.31751283838,4855.56043726849,4340.29313664788,4006.94038500925,5539.93681196433,5646.5754748101,5351.30160204052,4655.76387385447
"2000","Mar",6243.8320437957,7212.7187139033,6456.49405063266,4850.55741783504,6966.28228688464,6812.00028220356,6032.01639151876,4600.26278232663,6124.85201232145,7347.15616560016,6769.61859445138,5692.11876630021,6448.99604643142,6605.48159995229,6617.88023658307,6691.37160401542,7545.63699144178,6869.69664722874,6901.56538147923,6732.83229002209,6025.11002398535,6948.1408374525,5054.471480054,6726.86503712829,6932.37991919296,6409.69274655793,6567.14535484049,6661.00953142114,6977.17954539206,4388.14669895554,6117.70319219718,6755.27873150357,6057.75938755575,6932.12283326493,5363.85673032394,6638.80176113882,6711.24598069536,7159.24961475719,5745.67879006209,6958.87716273484,6328.21319064876,7342.27092222965,6500.74542434846,6688.62530850534,6301.16288321405,4884.21886182297,6537.47962711934,5890.99494502092,6933.0572557433,7124.40637704904,6696.09870808305,6739.65591802254,5952.45171249485,6942.90196796888,6170.36975732879,6311.88077795943,7106.12680863705,7421.26526162761,5841.30581888393,6977.54102268383,7326.46260421632,7139.74438231224,7394.2090241357,7002.00883723945,7064.88802886306,6831.7337178199,5846.27528554655,6759.24859721495,6994.48894561681,4519.99847029351,7021.33652174274,4894.85512970694,5307.80421696777,6704.61900344764,7195.93588482498,7372.9824403504,6666.48783013822,6466.73228143466,6262.70552538408,5588.35413061011,6262.40070051729,6781.53653412933,6417.22422345538,5572.56203067265,7134.03359593031,7430.66799069896,6485.33159612776,6407.58882928034,4862.05513030923,5717.67271700593,5655.04387134871,6417.4323003912,5972.74367450504,6118.44054814393,6619.76413947124,7151.67140592473,6376.71983098733,6867.3402218179,6923.68623849052,6137.67406581696,4929.23142829309,6593.74541051366,6870.62690482969,5985.16317412514,5127.44052304002,6828.78489323659,6599.67770293079,5477.57136734428,4671.24894434898,5825.47886506951,6262.870116094,5659.49957017997,6183.30285427742,6794.28197973954,5849.51179907762,6049.8569535538
"2000","May",5493.50030748631,6156.03180942946,5978.54260777335,4702.72937434543,6064.00719183586,5302.73865692743,5576.41482681576,5062.42070356024,5723.01524186671,5513.09345132918,5937.18044457819,5322.34902568038,5526.35728523239,5791.46044283904,5860.53977845008,5344.7475263062,6201.92907598363,4783.72643607734,5274.08398343655,6268.29481513655,5595.39330704084,5411.61016612774,5378.23157141993,6282.32282793607,6094.03254301047,5636.64038480801,6928.60319135382,5052.90488319274,6072.31824053715,4637.01053623107,5333.82926548833,5677.36179703797,6508.30915397362,6065.36409718349,6077.9671118432,5398.8680153572,5672.29457639062,6225.61414436471,6527.58862390039,5555.74886874945,5414.61223942608,6381.43610278751,5372.02302430384,5088.30477729942,6231.55065419305,5325.89889145662,4867.70503442472,5899.83236646972,6023.77312262936,6234.18447766322,4952.48329113512,6630.95946755633,6412.40455149965,6102.47949922401,5066.29297439484,5916.62352166733,6334.7183749876,6051.19546931748,4251.80576079925,6216.94551994452,6326.1247304997,6398.99976455168,6329.0664146055,5787.87051974573,7061.26108715308,5879.19700621948,5231.73453444958,5866.47503853227,5970.6499399449,4632.41791696766,6068.20608793878,5264.85207350147,5463.02685392029,6188.31932022798,6122.66532267061,6293.05241554807,6146.63400674546,5562.02191224815,6264.36273974139,5316.38886418756,5888.03569603691,5871.23226153455,6465.45408019027,4960.74103903276,6373.32296652842,6066.09214951318,6517.64656260492,5627.94731751874,5005.9469009468,5274.76268616135,6066.46802580652,5098.36148357817,5961.1572761891,5678.8118310348,5421.7996045025,6695.88568274691,6125.51511269504,5747.83504848739,6454.73266450376,5428.9531012644,4997.60613301355,5871.08214186161,6307.26169083829,5211.88556060437,4497.10992945919,5124.88035711498,6173.25408988311,4963.51788397937,4505.7914553126,5229.06471304554,5066.53651739715,4741.07013972863,6277.33796321742,6395.41930001756,5896.00597670569,5446.79510664014
"2000","Nov",4664.03418576683,5455.93618271614,4755.04844895737,4185.87963887375,6950.62522136641,4543.19111185349,4868.81149969755,3215.0368340525,4784.29773530598,4296.23286804891,6284.81982047997,4690.19312334211,5892.03214974928,5517.52335822565,4864.48578199348,4480.87432225958,6313.91408713482,3360.0877995661,4215.60859939481,5795.61170085943,4864.74551936111,4942.43013839794,3585.91174220618,7080.93240609747,5802.59431179399,4375.27864537507,6444.66614461559,4677.54857556872,4841.27869082101,3549.05427570657,4456.38847273414,5859.29090774483,7073.53720154836,5718.81339606807,5312.07734617766,5175.32335172369,5477.47900396728,5597.5208214181,6415.93351673068,4794.75221567095,4409.5724952446,6619.03342935307,4192.15383320625,5497.19974311572,5292.28589066632,4266.69281974185,4286.08778089973,5175.08203453793,3793.59329507484,5555.55904329754,5043.28037954868,6632.14541708854,5574.2352366402,5325.46931432649,3946.96989052427,5667.45103589882,5196.00324356611,5498.29868433861,3713.05117461258,5724.62583339568,5698.86241720057,5970.62125447028,5179.26571330566,6301.07889831358,7136.44448274564,5760.95079927136,4157.16187026285,5104.9911308754,6666.32944187767,3844.98085302289,6125.19797310984,4496.5045727478,4004.47943902501,5762.229310451,6046.90267797815,6801.36466497447,5272.50070320959,5864.67679466943,6069.05863606532,4689.05737679862,4938.29877081085,5572.76026069459,6935.6712921438,3895.39472286842,6869.66419263343,6579.75509727762,7148.91287767641,5108.1235446061,4104.73962233316,3842.39651253993,5300.52604244988,4989.35141047995,5798.40432827193,5168.50497503537,5438.78769820497,5590.82048055532,4506.05396948043,4912.36001930662,5032.04583530046,5199.52628994502,4434.31881905507,5333.99933465788,5634.15779184138,3769.02500912652,3512.68152585646,3958.50025335251,5278.68778649733,2840.93013437983,3885.87514364126,4264.85921573359,4418.98194451947,3116.08594248605,7351.1189142969,5267.18329470061,5328.05108589409,4888.74518245052
"2000","Oct",3294.42057678455,3692.19016888035,3755.92545567932,3760.24842199835,5245.49381532783,3750.34785015806,4053.43717483065,2488.58461330234,3481.30893355937,3380.1643705073,4904.59667273739,3463.38024745435,4747.81587327268,3810.38152475959,3200.17458410126,3209.7292092261,5335.33181825319,2998.61255315464,3480.47836204715,4571.20523267115,3777.37769916414,3920.41521599977,2800.35188998567,6502.01232848117,3859.5848145314,3771.23383451894,5465.76942788477,3692.22516882059,3901.65006593549,3489.73122613946,3402.62145825801,4760.90145961945,5827.61265556937,4525.01828488153,4728.76341067687,4029.05883767137,4291.02445140365,4722.39276436928,5249.37453867295,3284.46046367998,3160.28025779359,5566.16794016483,3305.05035357895,4187.31995290455,4438.44474407583,3981.1189869245,3292.99798554807,4705.30258802959,3253.72911140283,4148.59334482173,3927.0627892267,5563.7828826605,4961.74303793126,3279.3693909328,2960.96766847099,4363.44704900616,4993.3684874802,4306.15691218161,3062.31278904643,3537.27475681278,4710.83738188556,3712.86211324983,3403.88919104929,4584.73149740788,5753.67339745339,4528.01892958989,3493.37875831269,4422.257348569,5182.59827361664,3668.96615171839,4519.69711816059,4214.81687802569,3218.36749425834,4014.76669160269,4707.41071020176,5822.10792823246,4208.75355526643,4640.98225539103,5106.04532906809,4156.55724471268,4267.94985340528,4111.41564133153,5864.36960649687,3559.0566770609,5665.62046667996,4946.24617473395,6089.56132027237,3565.24248498212,4039.25181960058,3106.73320537084,4277.19103822085,3754.09312658663,4463.51707971021,4740.0526583932,4166.50656979031,4048.52759576755,3788.07577857339,3305.61782029539,4033.17491781349,3756.85853825372,4070.11617773468,4330.85131349692,4413.39867398939,3581.14420119769,3386.54085254635,3451.41745616695,4213.37062118178,2708.17897817281,3896.41006701754,2898.51644225371,2991.30814217944,2988.33325547592,5859.5872850169,3581.18383074077,4632.24894736133,3451.96001827575
