"dekad","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116"
11,"1981",6.399837,6.190526,10.07239,4.562704,8.132612,9.271179,17.8721,14.8114,5.746675,8.459778,5.593197,9.153722,7.950415,7.191678,4.109961,7.709347,7.310397,4.922806,9.493115,7.534622,5.328776,7.633008,5.407219,7.515151,11.76715,4.264194,4.717251,13.54368,6.133327,8.371819,4.504545,12.35707,7.393396,4.57665,4.654379,12.68785,13.25682,10.24334,6.434825,6.961803,4.965869,9.106765,2.879903,14.82911,6.749092,6.099045,3.60548,4.624168,6.462839,13.40724,15.52552,11.17965,5.277715,6.326391,8.889282,9.917231,13.89789,10.17542,9.636296,5.439458,11.90191,15.94406,7.610673,7.992488,4.811534,13.69573,4.663012,13.17144,10.97357,5.591392,10.90132,5.770573,4.662316,4.693251,15.04994,13.30921,14.78119,8.900675,4.922277,3.351156,5.961449,8.344881,7.432871,2.956958,7.266718,6.125278,6.277404,7.705565,5.92256,4.560568,8.36135,15.71471,11.92032,4.275348,15.23246,10.48115,5.777058,9.096773,7.238503,10.86953,8.098654,14.35462,9.781816,9.692035,6.811707,7.011686,5.227361,4.601576,9.721718,5.962287,4.506527,6.297318,9.075817,8.369134,4.328604,3.743304
12,"1981",17.42592,17.22916,21.57976,8.641178,35.92029,25.07369,51.55436,49.29726,25.02712,34.27308,26.53167,18.95507,31.51589,20.51007,11.02158,22.99282,48.90845,22.74247,30.66756,14.0867,9.615261,36.21381,16.10872,48.40598,28.95171,6.157663,11.7313,35.63037,28.57474,6.551356,7.299546,35.25718,25.25086,8.20965,7.11193,31.23054,35.61539,17.17137,12.81965,18.92586,11.60844,51.90673,3.500664,40.66787,12.11453,4.881803,5.196589,5.111016,34.40002,37.94397,36.8865,28.18434,7.627032,15.02898,14.87518,21.39265,36.21859,43.61943,42.80728,11.09654,29.14417,36.61584,18.51781,43.15435,16.68879,30.67395,17.02999,21.79221,36.60403,5.457733,29.01744,4.471588,13.11465,11.02456,30.34984,49.57288,33.03555,33.66932,11.07784,3.361725,12.25268,12.23554,26.25759,3.50457,59.98123,51.54496,33.79846,12.419,4.493853,8.164912,50.3042,37.27028,22.33047,6.421351,34.65871,26.94361,12.60408,19.35682,33.72681,31.63372,7.988016,19.80486,19.72826,13.81304,6.003084,23.6378,15.92949,18.44482,7.176188,10.03031,8.904375,6.912536,31.38886,26.76451,7.904764,6.341352
13,"1981",1.987652,5.614848,4.763735,2.823917,2.873373,1.313801,13.08192,4.220114,1.718207,1.562081,2.502606,3.472935,2.775255,5.710615,1.707606,2.140344,3.169817,1.505657,1.275505,1.933322,1.274228,1.503775,1.381158,4.464459,13.80178,1.225579,1.938653,1.569487,1.497708,3.008497,1.085743,2.826535,2.708344,2.128156,1.714035,1.573966,9.44964,4.989787,1.830793,1.82998,1.457795,5.106419,1.118971,2.836563,2.053217,2.244226,1.24035,1.680048,1.361829,1.473725,2.314339,2.512803,1.925902,2.234404,2.724382,2.569865,8.008204,4.046411,1.642349,1.365599,5.391453,31.67,1.739729,2.925815,2.17435,1.966765,1.300786,11.3901,3.012921,2.207388,1.634536,2.133859,1.365574,2.212042,1.99405,7.963102,9.361836,2.839021,1.846052,1.534649,1.348883,6.811011,2.807727,1.218513,3.849031,2.552093,2.753913,10.10828,1.96358,1.210056,6.175005,2.402793,1.599356,1.49062,8.871004,1.411414,1.328666,1.674637,1.335825,2.936859,2.430314,9.801041,1.727246,2.67789,2.274898,1.295298,3.353615,1.521689,3.013071,0.9522144,1.341131,2.028495,3.418642,2.965305,1.908715,0.9351493
14,"1981",0.2053458,0.7407996,1.48511,1.717314,0.5763607,0.3912439,1.88111,0.5192481,0.374455,0.3411489,0.5841528,0.9376826,0.58725,0.53444,0.9423122,0.1383481,0.7908354,0.2097028,0.3540154,0.7357567,0.5513601,0.3564837,0.1665477,0.3415085,0.6269374,0.3833287,0.305205,0.3654242,0.3266936,1.371116,0.4131266,0.5508891,0.1282373,0.7755225,0.2843249,0.4909054,1.646319,0.6524611,0.1266297,0.2615056,0.2552413,1.13269,0.4200084,0.3324084,0.7445222,0.8152477,0.7657773,0.3170864,0.5177143,0.4690676,0.1810669,0.2793611,0.3045332,0.7831166,0.9984211,0.2272315,1.256928,0.9932804,0.2058215,0.4235421,1.123202,2.440515,0.1850363,0.8600107,0.2747554,0.3086994,0.3441313,1.477445,0.4917642,0.7559369,0.684055,0.6648611,0.4119639,0.8902466,0.2194124,1.940687,0.6498189,0.6117982,0.1667626,0.3558898,0.2863896,0.9673511,0.1006145,0.2291478,0.651718,0.373266,0.3521658,1.312662,0.7305949,0.4338944,1.373774,0.1684919,0.2497947,0.1556395,1.1842,0.5048891,0.432565,0.7415166,0.4903561,0.4017029,0.204035,1.097091,0.7375721,0.02518588,0.5354421,0.2818299,0.7472798,0.2066925,1.010137,0.1996911,0.4963652,0.1679169,0.0859004,0.7683166,0.4267104,0.4569493
15,"1981",0.1814077,0.7544772,1.603439,1.072431,0.2339192,0.1786195,1.151593,0.1446578,0.2504292,0.1373883,0.2774009,0.6906887,0.2648253,0.5254044,0.9867815,0.07122841,0.2971581,0.06496326,0.188813,0.7080333,0.5480169,0.2019949,0.1112327,0.0006539512,0.4690685,0.2112219,0.02217228,0.1296794,0.1505125,0.7919494,0.3368541,0.1897662,0,0.7366632,0.04229833,0.2931661,1.190653,0.4229861,0.002092162,0.195124,0.2583274,0.4744158,0.3063011,0.04494924,0.7060395,0.3930596,0.6411885,0.07270531,0.3931253,0.3409599,0.001439144,0.03200519,0.04944857,0.646946,0.9941284,0.094781,0.7587337,0.5043707,0.03502758,0.4206961,0.7030848,2.569383,0.1180049,0.4892824,0.007567777,0.08193732,0.2510415,1.576783,0.1792218,0.3064807,0.5627954,0.2996786,0.3470324,0.8921284,0.01322921,1.519369,0.2947187,0.2788951,0.001306697,0.1643238,0.07571648,0.9809935,0.00039086022,0.1540878,0.1087171,0.07655855,0.01366663,1.406927,0.4048557,0.3279927,0.562143,0.00346105,0.03842371,0.001124667,0.6562262,0.5214714,0.464256,0.8630227,0.3920938,0.147533,0.05414511,1.031712,0.6984877,0.01013282,0.169644,0.0977696,0.7790517,0.1052371,0.4500221,0.1764004,0.6197694,0.02395838,0,0.8811615,0.1383542,0.4468121
16,"1981",0.5316239,0.5078328,1.017983,0.4742976,0.3893437,0.1541757,0.8315464,0.3819377,0.3345546,0.2062765,0.294846,0.4373914,0.338477,0.6123853,0.5064036,0.5075217,0.5821668,0.1977451,0.1716141,0.4565164,0.3496646,0.2941163,0.2131904,0.5458151,0.5480585,0.2533488,0.3192419,0.156147,0.2531393,0.4348629,0.3696441,0.2926132,0.300773,0.5496125,0.1913075,0.2277631,0.7535259,0.6605947,0.2185445,0.3709593,0.3928749,0.7299317,0.3550766,0.2509121,0.4508393,0.3292171,0.3304943,0.1719418,0.2862625,0.2236103,0.2906702,0.2684742,0.2256089,0.4893951,0.5484101,0.2385146,0.9861097,0.6572497,0.2347677,0.2689816,0.770004,1.455093,0.2405237,0.4543701,0.3523708,0.2368307,0.2499482,1.288927,0.3914289,0.2775971,0.3226638,0.2884715,0.2866358,0.4711249,0.2104716,0.9800023,0.7600824,0.3018333,0.2427251,0.2044674,0.1740051,0.8244029,0.2535061,0.3798326,0.4784288,0.3482057,0.4424948,0.9502439,0.3406412,0.2995009,0.6462215,0.2530776,0.1809741,0.1522328,0.6787301,0.2712604,0.343658,0.3933791,0.3113691,0.3178413,0.2267788,1.218831,0.3694448,0.2853371,0.303998,0.1674204,0.7867823,0.2092914,0.3809068,0.2294968,0.5188048,0.3498074,0.2504205,0.829627,0.2518736,0.3530727
17,"1981",0.4663483,0.131111,0.4969853,0.00057925936,0.03199437,0.004374735,0.001936225,0.01462289,0.2402188,0.04921613,0.00960659,0.04960249,0.02695964,0.1884674,0.1944899,0.4238865,0.09717534,0.106536,0.02194093,0.1655126,0.2559834,0.1534822,0.1508914,0.2094126,0.03597279,0.1749992,0.1130535,0.00092199829,0.1341629,0.00035729399,0.3248019,0.002200196,0.09042618,0.2097114,0.01481437,0.03048038,0.003007834,0.1893272,0.06752866,0.2681761,0.3520709,0.09509414,0.2736179,0.005147988,0.1526623,0.006697382,0.1354135,0.01673904,0.1396244,0.02722945,0.1045308,0.03153924,0.02665891,0.1995617,0.2074616,0.02679764,0.3229426,0.1964225,0.09506122,0.1049321,0.2519096,0.2305802,0.1147328,0.03175594,0.1087741,0.04282044,0.1658347,0.3052879,0.06125047,0.00015312443,0.06684482,0.01151365,0.2095363,0.1447192,0.0198243,0.04998145,0.09722181,0.003666684,0.07437457,0.07691462,0.04309399,0.2728534,0.06838357,0.3458245,0.00081398932,0.002776178,0.1333278,0.2382137,0.046581,0.2436227,0.00031793103,0.06448861,0.01330689,0.01937264,0.00404894,0.07174624,0.270757,0.1542851,0.1590644,0.02808164,0.08250391,0.3939814,0.07935645,0.2686855,0.03789061,0.04309652,0.4075404,0.1343635,5.6702585e-05,0.1716698,0.4464507,0.2449063,0.04177291,0.4932487,0.02396106,0.2747482
18,"1981",0.3795458,0.0616563,0.2937376,4.0068275e-07,0.00098274031,0.001069749,0,0.001016509,0.1659854,0.01744467,6.8055262e-05,0.01179601,0.003835804,0.08597492,0.1192137,0.3242563,0.01847667,0.06881911,0.009356276,0.1218719,0.1744711,0.102471,0.1027017,0.1093752,0.00973663,0.1157535,0.06089446,6.0708931e-05,0.08394962,0,0.232269,0,0.0394468,0.1163514,0.002264677,0.01200477,0,0.08413908,0.03073525,0.1938331,0.2918919,0.03395205,0.1885931,3.6595073e-05,0.1131216,0,0.07070815,0.004800876,0.09306698,0.01502235,0.05438109,0.006326215,0.007945352,0.1235684,0.1169671,0.008135363,0.1582533,0.08722299,0.0529264,0.0872864,0.1170926,0.09010231,0.07875515,0.004180945,0.05071114,0.01799964,0.1112778,0.127894,0.01013179,0,0.03156364,0.0001898717,0.1431671,0.09170039,0.006150994,0.003202014,0.02847066,0,0.03309677,0.04852046,0.01922901,0.1326342,0.02921131,0.2520124,0,1.2193464e-05,0.06288861,0.1224832,0.01452083,0.1708118,0,0.02608193,0.003208821,0.001367328,0,0.06579116,0.1897416,0.1091949,0.1084115,0.004654245,0.05076084,0.1904472,0.056327,0.1993487,0.01712329,0.01860016,0.255341,0.09112483,0,0.1195159,0.3735735,0.1759871,0.01028168,0.4333256,0.007157129,0.1898464
19,"1981",0.2579897,0.05632446,0.1806244,0.008443616,0.01651754,0.002749884,0.006433613,0.009648538,0.03580439,0.01315272,0.01023688,0.01692476,0.01374865,0.1218731,0.1001839,0.09774453,0.03373767,0.02629884,0.01088876,0.1616065,0.04185757,0.04821645,0.025116,0.006259626,0.07106699,0.03006537,0.01956889,0.002236023,0.02451362,0.003647482,0.0527423,0.003259918,0.01245905,0.04976588,0.002332899,0.02456255,0.009282817,0.07612226,0.01104238,0.05271332,0.2218902,0.06278573,0.04561814,0.002016424,0.161541,0.00405249,0.02796458,0.005307163,0.09712832,0.08093056,0.01464705,0.01041721,0.002605236,0.07821558,0.1186434,0.006528849,0.08548537,0.04565987,0.02423188,0.16054,0.06536346,0.3656291,0.03923401,0.01688962,0.01600959,0.00870028,0.02988392,0.1591841,0.01800954,0.003628014,0.05208114,0.0061639,0.03652205,0.1354289,0.005931632,0.02756374,0.04000495,0.005114357,0.00990812,0.01532189,0.01021737,0.1414205,0.01741493,0.05379914,0.02902019,0.01161334,0.01281634,0.08982324,0.02362744,0.04126345,0.005822573,0.01246958,0.005102052,0.004599405,0.007648255,0.2063832,0.04252331,0.1553255,0.0695805,0.0118187,0.01828472,0.1770554,0.1645983,0.05140954,0.04985859,0.01072747,0.151366,0.02812603,0.008166054,0.03644646,0.3172655,0.07479001,0.009712271,0.5153534,0.008462165,0.04556578
20,"1981",0.1635856,0.02079332,0.07841494,0.01362162,0,0.00016513609,0,0,2.5040586e-07,8.8694932e-08,0.0011527,0,3.8907045e-05,0.07058833,0.05674123,0.02463662,0.00087100529,0.005213137,0.004667947,0.1382454,4.3377975e-07,0.01467017,8.3472605e-06,0,0.05550735,2.1282126e-06,0.00064349314,0.001122092,0.002769732,0.00032619946,0,0,0,0.001472651,0,0.01497383,0,0.01728874,0,0.005215355,0.1470989,0.02439449,0,0,0.1422857,0,0,0,0.07064116,0.07797741,0,0,0,0.03826954,0.07694842,2.717664e-07,0.00061003363,0,0.0035849,0.1498278,8.0219499e-05,0.2866012,0.01726299,0.00015778052,5.5121404e-06,0.00065002643,0.00013444605,0.03515415,0,0.003283123,0.03793994,0,0.00035866178,0.1127189,2.3201907e-05,0,4.5058197e-05,0,0,0,1.0995002e-06,0.05936395,2.0963759e-08,0,0.02981322,0.006176886,7.7784189e-06,0.01102325,0.003205933,4.233361e-05,0.002902853,0,4.9386956e-05,0,0,0.1943857,0,0.1086152,0.03773634,0,0.00012406243,0.04320147,0.1541387,0.004607176,0.03582149,5.7359157e-06,0.06802371,0.003255991,0.004150981,0.01060638,0.2033632,0.02482091,0,0.3967236,0.006178758,8.9461952e-07
