"year","month","1","2","3","4","5","6","7","8","9","10"
"2000","Apr",6528.00707260358,6995.02834571456,6765.11518953393,6670.24164309,6218.20219401186,6613.18531066286,6947.96845088241,6774.26930900235,5981.39899517304,5617.12888335169
"2000","Aug",3721.59831856897,3990.25555839852,3527.18166756834,3880.88611795939,3787.29552312784,4034.34003987634,4394.55659718567,3874.48695644008,3194.07324080068,3518.97311587538
"2000","Dec",5496.23480030482,4456.68986659671,5915.65023710694,5159.53524868246,5598.69166791362,5523.24135019865,5705.1579280162,5126.70748767649,5445.14682263379,5048.49044733573
"2000","Feb",5672.2122561624,7166.53548582403,5866.11746423214,6194.7371666985,4956.1168315152,6600.76764226306,6408.90454497558,6182.50865712555,5693.7278079884,5943.73986022746
"2000","Jul",4323.84967395982,4602.04145010342,4204.61943318728,4606.68985626162,4402.54486195633,4596.03668866326,4962.74784939418,4448.96867392145,3863.38089507576,4059.17171708255
"2000","Jun",5029.78462422321,5314.26145101536,5179.22212743961,5229.08423111391,5143.7629619279,5323.2529368222,5669.55075369383,5130.41479509898,4668.34964450107,4664.55021773759
"2000","Mar",6622.81014539024,6800.18096903819,6867.571981162,6688.35208155091,6908.41316086081,6765.45175889699,6161.06101875054,6850.58081191447,5998.33328658599,5316.51837274631
"2000","May",5854.88856159393,6143.79058974052,6034.04269323391,5954.71505171906,5925.05703867288,6125.53380291814,6380.70976574663,5979.84681532153,5383.11959829651,5219.47668263448
"2000","Nov",5173.04107875813,6174.54007201275,5116.40683564053,5930.0298762546,4540.14331576313,5525.35275896214,6477.65011109391,5459.81465232584,4247.11141431828,4316.80289829153
"2000","Oct",4156.37915229371,4999.2166507363,3460.74921733786,4663.54494375989,3710.45869814631,4030.88164091584,5436.48215942441,4443.77960839032,3291.69982410674,4012.13033870362
"2000","Sep",3487.33274397201,4189.94753439319,3123.25330590059,3736.33346075084,3297.6861461695,3478.72349184401,4658.95877344685,3619.26632581739,2929.92244135642,3586.51162060478
"2001","Apr",6672.06839842154,7149.57380862465,6805.04097626911,6742.14399156612,6875.24644210087,6683.76025094,7054.2127184362,6758.22232577269,6245.66008155876,5758.3559980312
"2001","Aug",3730.61473709862,4173.1722029238,3431.54350425042,4049.63771270413,3868.39834198468,4048.69045627371,4381.45159605358,3974.54237201638,3249.19408970487,3565.3662263892
"2001","Dec",6643.87002356712,6325.23695861664,5681.16154050222,6233.78727424112,6637.60666582916,5273.47232797526,6944.07091538873,6124.77231265295,5892.60283237187,5782.85250347406
"2001","Feb",5133.13339636145,5576.60802829443,6387.03217089279,6154.44478670348,5577.20479656347,6065.41670621639,6107.01644778942,6901.23041728225,5424.27552864116,5256.34195809125
"2001","Jan",6209.07582537084,5440.31584921746,6046.21280058494,4701.70323264052,6492.63761275563,5381.74220203285,5929.20693805815,4677.85488153504,6056.23364790255,5940.3891333031
"2001","Jul",4367.08409807415,4790.6760107543,4211.47334162175,4811.93102378188,4604.97547451431,4759.5725007677,4922.72464696403,4673.76147392615,3755.43511797304,3925.77571977702
"2001","Jun",5001.22137055715,5491.79469600092,4928.83683492039,5610.64986326986,5184.07321525359,5349.64549458553,5719.38642548819,5431.93458349494,4281.7882049025,4721.72980504654
"2001","Mar",6294.28414076115,6944.05871804114,6480.57541897814,6337.23800672702,6324.30045612499,6341.28946339583,6836.44247366692,6673.46526039011,6190.98774830496,6130.56925678007
"2001","May",5786.53880448721,6234.80235666418,5800.71555633171,6269.25226931879,6072.77122712986,6082.83882687763,6323.67062527974,6151.98567130794,5289.58232644875,5129.65033275267
"2001","Nov",5378.6381254108,6578.33546392078,4218.75360755124,5967.63507667692,4866.74727082004,4683.87039842101,6656.21463516677,5563.9908183557,4425.83799105105,5307.57156330547
"2001","Oct",4257.159267958,5245.09516178967,3750.93468402954,4761.75042417027,3748.30641868763,4099.12561244359,5713.20730569584,4598.83447569552,3107.49959489998,4112.05490736992
"2001","Sep",3915.86746589902,4833.85620847645,3423.89488747849,4198.53260641202,3608.50073946475,3830.91455895635,5155.30419378618,4093.72710824001,3174.31905788516,3841.79859991784
"2002","Apr",5892.8918607802,6922.59937838476,6617.7683164582,6977.57014374117,5753.9822128467,6786.27119516376,7052.81117499857,6839.55981033624,4743.05853215103,5288.7472186412
"2002","Aug",3505.27787949077,4263.40842419765,3315.76121048321,4128.55977604423,3263.81657850755,4136.79779486948,4561.62836247939,4071.40933942219,2784.65613039691,3468.28558172549
"2002","Dec",5034.34051182593,6156.22487751798,4907.04154534918,6204.87155618776,4682.69942772397,6111.75807869944,6537.86083446856,6762.60090895822,4390.72240519694,5379.64242957368
"2002","Feb",6721.17668001614,6498.28116783139,7074.49964320511,6265.06915982972,7063.69564786119,6640.20280958063,6849.01331618357,6614.96202701487,5944.13300284353,5829.96119442458
"2002","Jan",6798.44000290526,6905.4495535693,6360.42327443173,5421.01076830276,6495.0636040407,6168.32466908129,6487.12947593828,5801.58303058835,6083.65722986852,5922.29578497428
"2002","Jul",3808.54924715792,4431.63772099115,3766.84460008201,4633.41225289354,3646.09878077493,4666.8114094549,4767.95905300205,4552.54796606023,3119.49163104587,3698.79766270169
"2002","Jun",4371.33052354236,5193.42761409481,4449.12660719301,5551.79872939109,4344.74458812634,5375.47497335727,5597.03502825146,5313.55554186897,3676.21037561173,4209.08707088782
"2002","Mar",6351.0653709301,7295.23357319128,7031.80354023608,6309.30842131667,6075.38132407893,6355.99742489438,7216.14565306284,6142.90216209589,4891.68168195648,5764.93875716585
"2002","May",5082.61455382958,5972.40299565854,5403.78522341145,6222.63056148765,5169.98313844872,6095.39406270329,6264.1544171847,6027.90000165388,4338.95680448488,4779.2680307806
"2002","Nov",4856.45312679923,6004.44980649292,4214.17834249448,6026.95694301392,4215.46088606821,4966.75117694541,6390.71128377855,5638.6325379969,3552.27976932776,4599.35195474989
"2002","Oct",3861.17717183451,5060.26829515152,3374.94673477293,4755.55868534822,3211.42619051899,3846.75241626719,5684.08676452864,4340.38953068714,2872.19998288441,4043.06444476851
"2002","Sep",3577.90662603932,4753.11875967519,3219.79419818114,4246.43127212637,3131.01823807604,3848.87173475756,5118.73410375597,4208.32397632578,2716.59149994947,3676.70382085732
"2003","Apr",6678.94061270183,7004.21377406938,7008.78762928001,6724.88918676582,7040.35073191012,6923.79663886757,7043.63317101057,6837.2826971961,5535.78462942775,5523.33261353918
"2003","Aug",3727.77706413442,4205.92167213124,3479.66307547536,3944.71419805576,3710.79096446817,4194.92888555229,4482.47644834121,4027.1337209016,2920.56932607144,3342.73062861489
"2003","Dec",6337.45159440473,6591.97076321718,5518.35525316952,6491.77901893591,5871.45743331572,5931.12780176913,7022.97697803858,6181.85526108497,4964.81263303081,5880.59472201922
"2003","Feb",7155.56281581719,7807.95440756371,7170.22563667893,6773.73270183069,7127.05122823071,6339.39650156115,7463.46926792359,6912.96503911415,6150.44468679668,6151.20387497879
"2003","Jan",7047.65595233669,7488.7554719168,7057.10687984653,6434.95101818315,6969.25988924553,6798.41275864744,7333.03308062749,6463.38236110916,5459.50650766939,5942.46653264804
"2003","Jul",4329.19183474229,4694.24140711235,4207.20866266659,4755.18811220683,4530.62139409071,4896.33560190917,5019.10951391976,4768.90405825761,3369.51088973181,3838.0023070893
"2003","Jun",5048.81070806379,5394.79562388969,5172.46243601286,5385.64631935401,5319.56687760953,5668.58076967159,5664.96595319329,5356.76416872272,3923.03621374862,4382.13135681221
"2003","Mar",6869.4586679317,7305.82732297272,6475.78741188141,6097.66290327732,6941.05979690777,6429.22478300951,7325.77169945283,6752.1337662567,6352.89621398829,5877.79149274793
"2003","May",5715.44143898032,6066.92629734401,5979.10796943331,6147.08661386075,6101.62323312498,6266.30749608253,6284.87132203876,6174.13918041375,4518.497598901,4847.99143007191
"2003","Nov",4632.56629697391,5846.71726483079,3656.03012663613,5438.14219206302,4056.26725224581,4248.88975945521,6512.18351928045,5031.0320393036,3310.73895212765,4453.84860596
"2003","Oct",4210.23649711727,5576.2404438504,3447.80077856071,4922.24029764438,3645.26456013637,3885.54023256619,5741.72068970479,4338.20015326102,2904.0573424382,3823.20890702884
"2003","Sep",3583.99875678387,4546.51247817198,3206.07795477368,3922.50683388682,3297.96197495302,3689.35721851586,4941.93790399542,3912.07810517353,2683.48842923283,3430.96180813523
"2004","Apr",6724.19477516006,7198.94675580103,6952.34167530418,6879.62286216641,6952.62385150077,6865.76922725234,7287.84835819044,6796.63211424314,6271.58055235333,5892.47299126053
"2004","Aug",3736.04514547031,4187.92756603969,3432.92735928908,4106.162169737,3840.01546627173,4029.1471494018,4584.62137601075,4027.08540010752,3233.49736568753,3619.20244847346
"2004","Dec",6324.21897236906,7099.12453611067,6144.40947688864,5970.69664403035,6467.72549186152,5956.15239285433,6966.28770240614,6299.67667113677,5112.11658795212,5580.36491478428
"2004","Feb",5935.99531136689,6398.13037876836,7107.16047345237,6457.64581959688,6566.26578460903,6906.18916921156,6254.9169822943,6718.13027877492,5185.38327416156,5288.35760453327
"2004","Jan",6432.28234380509,6817.99300593058,6295.54726081137,6237.14098696095,6365.54215248387,6658.19725370122,7217.35324706349,6519.51277715292,5641.2427408303,6001.554825422
"2004","Jul",4331.3307956716,4699.01282820354,4112.83275869244,4829.04460693941,4650.4735248044,4622.85011414713,5095.75213719415,4633.68878340488,3811.39737779438,4110.33427138212
"2004","Jun",5008.29943040064,5497.89639687834,5059.19339269964,5476.54068909739,5326.57683860796,5418.15924565612,5816.45758984202,5423.96397087296,4509.24185376465,4705.69492714609
"2004","Mar",6843.72812482163,7166.27108288756,7148.17099315856,6479.97012609372,6702.82514967128,6928.35487425779,6703.30340029289,6831.26308489845,6595.87755979869,6147.80399866174
"2004","May",5872.5364879116,6388.62209207731,6108.50447426782,6295.68335618893,6159.4420503636,6266.35771352527,6584.18485559921,6251.64624880603,5346.39781313758,5288.02622335186
"2004","Nov",5074.62487319747,6438.04416395531,4622.98044621341,6069.42113853924,4571.93279272409,4814.38748679305,6804.07504768705,5483.25960578445,3500.70020268565,5031.18103559514
"2004","Oct",4332.01119439216,5095.36037238585,3832.56665459153,4894.21174802673,4097.49583266613,4000.89449845232,6073.03565600821,4405.84421634756,3190.18605571186,4344.98357326564
"2004","Sep",3574.09582123649,4546.11434697387,3172.21348569274,4052.25636207581,3382.08175173099,3675.59316716569,4894.03501933094,4097.97750656328,2939.69448629394,3782.03473084878
"2005","Apr",5682.36677232826,6771.37530840758,5647.34437065329,6494.55549307825,5339.74754416349,6609.53781394762,7046.95601363783,6774.48214629932,4821.46899307613,5520.62999430096
"2005","Aug",3230.77560211682,4016.88026423576,3136.59175370584,3907.00400732059,3241.64988987047,3823.45899347604,4271.55748366074,3904.34749158677,2755.25670097927,3313.31447001346
"2005","Dec",5894.67461127647,6557.89338188862,5909.95561518159,6576.71717510692,5843.07548104468,5775.971447274,6771.56753128657,6364.39027332139,4999.57817064798,5547.50148118841
"2005","Feb",7108.53714269537,7530.15644914004,7284.7409368159,6799.33642838948,7372.85714023746,7279.75303819403,7503.63702734297,7223.23306226591,6514.18977115874,6027.69054377049
"2005","Jan",6318.66821653943,6617.41989141784,6233.04463103921,6296.17324760374,7328.56616351703,6661.22735552135,6480.68848505019,6603.40720277279,6384.37969733106,5857.80129756251
"2005","Jul",3630.3630590933,4371.96437309391,3584.80600078775,4595.22543138712,3636.02156846114,4437.61830905191,4645.74066878389,4507.60490519984,3031.22875535397,3658.09008080268
"2005","Jun",4028.69682832031,4969.16210465327,4048.3830553853,5262.64123862073,4043.00545932976,5102.84290079894,5317.72128697652,5222.52123010137,3368.62080871997,4119.82079284387
"2005","Mar",6718.03766938684,7397.57746719668,6928.25380080726,6848.13018186604,6691.36661883902,7213.60514453772,7459.38852686198,7110.52066863399,6064.98473545905,6080.31006726173
"2005","May",4673.06973397247,5853.89308666035,4620.58404226396,6009.68631239952,4535.97471863751,5792.6597097345,6199.35621415272,6018.70715979711,3900.99631636097,4780.41237471637
"2005","Nov",3883.04520568802,5363.21531484005,3641.00655571,5267.206610716,3667.91823806765,4437.39663292372,5725.09176544427,5036.45402127124,2831.78249163351,3917.86196670046
"2005","Oct",3424.96973131589,4767.97799823904,3208.44151574898,4516.9966525816,3072.00756302798,3758.20785174933,5206.92136873338,4248.08694182694,2484.91129422812,3348.29380569864
"2005","Sep",3279.61411162735,4492.17105917766,3078.83404818022,4144.01979804322,3099.27086067823,3651.54384522739,4728.53948567597,3985.68932768477,2569.90735216765,3226.43660625155
"2006","Apr",6608.63006770479,7017.91633883602,7049.62190651018,6693.34960988047,6795.20233434791,7056.70196910509,7197.35090693363,6959.36300297019,6044.0764667109,5755.60224687023
"2006","Aug",3746.4227822169,4089.86666975844,3497.23093483326,3882.84133710484,3722.03341237302,4141.35321029648,4494.22035647574,4033.20785782314,3245.29000789246,3539.02650245231
"2006","Dec",5832.40427961419,5731.31393321758,5392.94781520805,5257.63367559428,5426.43451645246,5266.40111084259,6240.44948242922,5564.01052620363,5147.96459715668,5589.75743557163
"2006","Feb",6460.11857597961,7178.3611338571,7133.72817832898,6818.51674710338,5974.34721242544,6883.73323834399,7156.9945618352,7188.06017598309,6099.49928301028,6163.73829043894
"2006","Jan",6622.9171325091,7211.61015858492,6763.27911301371,6642.00437263153,6652.71909952529,6632.51476660054,6870.98045488609,6416.25584663682,5579.21164280706,5975.19268972837
"2006","Jul",4331.94236847106,4614.17841148245,4206.83315797567,4734.48819322392,4381.33590017224,4813.37519410537,5064.45133933585,4781.15583298461,3778.0112694471,4076.68855687757
"2006","Jun",5034.25710308765,5407.37684192491,5126.70316835782,5468.62532128562,5122.03353619185,5583.07777277528,5826.23129943442,5539.2660534993,4429.95147809807,4621.99684330911
"2006","Mar",6926.4387745292,7163.54104386209,7161.19698667683,6687.37788246729,6934.77438338628,6544.95569760467,6984.79778674383,6789.53191419948,6623.71898804247,6204.06968025436
"2006","May",5782.10705428285,6284.18016946367,6020.75845069348,6215.75537339844,5837.13789494424,6434.87596289005,6608.56841468632,6399.38869589653,5127.08794852698,5155.83759509885
"2006","Nov",5082.09566276313,5978.33008085535,4033.63385818823,5370.6988364927,4343.89681014176,4314.44935777795,6766.90442999078,5060.14586208413,4027.69625175936,5270.51649023606
"2006","Oct",4191.42539723856,5270.95922364388,3288.06046671847,4557.4744335789,3520.64593428062,3634.08583944152,5966.87108208971,3990.00289314785,3294.42286103406,4509.25822311447
"2006","Sep",3649.88582842585,4617.28978039852,3139.37644753653,3939.26029183551,3336.28300935551,3639.11221607423,5030.26922979795,3831.54662388876,3048.37879827995,3818.98058178729
"2007","Apr",6489.1410728216,6978.09174347292,6822.41761796741,6423.30513210917,6441.27404229749,6733.4070363487,7163.85346256322,6765.28865200146,5755.81104825157,5744.22642859879
"2007","Aug",3723.29813160597,4164.93910244247,3429.47085511595,3925.83941175129,3462.74120999378,4091.8601418791,4635.12861743782,4029.46258275977,3058.3989252979,3560.09523517217
"2007","Dec",3995.30083836624,5319.7457422912,4559.1850843536,4892.58908115708,3037.79730030529,4723.27602801161,5907.85305893473,5315.39966538413,3516.8186774895,4389.42296728154
"2007","Feb",7314.63893125858,7597.82323274495,7240.90948104117,6645.2651076533,7518.53445585216,6935.98932941027,7381.50476742071,6929.29781019575,6841.56153788748,6180.01677028062
"2007","Jan",6164.26036163517,5524.6172867314,5845.6510229781,5446.4141262339,6156.8830885629,5954.83399885166,5852.03271437043,5693.5188258607,6154.28065951698,5913.48152232346
"2007","Jul",4220.85284222389,4623.91229810635,4088.14577933398,4642.83570484414,3958.16206837211,4774.75128714173,5005.22229182814,4571.96021211141,3441.95303837005,3912.6072173694
"2007","Jun",4900.97019409636,5421.62766818119,4826.77211237023,5545.99578411226,4673.11925224995,5422.16973943331,5668.39173742206,5294.68622631764,4015.76032593323,4425.02439593355
"2007","Mar",7110.69780417891,7626.39865832842,7226.95808803255,6801.81195520741,6958.39769182512,7085.77995959442,7460.31993959629,7022.00325130114,6381.68347731473,6117.67464225629
"2007","May",5589.15035382621,6047.72622147503,5733.33183868844,6110.20000185088,5302.79774113409,6101.74805608755,6350.82903515773,5974.62027836615,4654.62060462239,4999.36232879629
"2007","Nov",4988.4245104985,6174.55055336825,4391.81210486165,5882.17614769886,3990.27941928259,4845.72602526489,6672.54558761804,5745.70334494162,4021.10013850707,5073.6230534206
"2007","Oct",4177.16848230766,5266.40049666568,3495.0313964854,5174.91933467571,3275.65467927068,4082.90555633167,5840.72622201753,4721.28698053189,2962.10520956017,4281.39582469445
"2007","Sep",3736.23340670106,4647.35671919795,3224.57785408623,4169.01628813245,3228.17782853652,3742.51545390252,5180.63409269882,4021.35684513182,2904.95539903624,3780.19113001945
"2008","Apr",6391.19891497323,6951.73564745647,6399.97020677374,6546.1749206874,6312.38361569225,6762.31849901781,6960.5275289428,6661.525137292,5661.42222024383,5602.57429658291
"2008","Aug",3684.79896134485,4191.46833704892,3371.99556816289,3854.99843601547,3647.03996949003,4048.37327093512,4487.93418769725,3945.1970824107,3125.14377661169,3603.09839937488
"2008","Dec",6703.80785778768,7020.59201908027,6458.04087642155,6283.53877560298,6661.29632372483,6211.90953942307,6938.54410446057,6827.84445243187,5272.41246599593,6054.59706427897
"2008","Feb",7256.34166048431,7548.50159613804,7253.7807805323,6600.49701623245,7483.11936596439,7189.98907567883,7530.99865609567,6839.19858485404,6626.80343527636,6364.14771811568
"2008","Jan",5101.67364178038,6266.98120882413,4675.23110661456,6135.25524111854,4371.62245105929,5732.27271359507,6675.37415151669,6468.52260438182,4187.04703836278,4612.96774293373
"2008","Jul",4182.40910792863,4552.26251482375,3903.12750923006,4544.98555762256,4325.01045641742,4712.88843546686,4957.94437248945,4488.45547976117,3628.9836672818,4029.21446315546
"2008","Jun",4768.86622840323,5218.78125118059,4586.5535187737,5383.25625893989,4831.72791102843,5343.75197750652,5647.11218199706,5175.38965620535,4198.35918272916,4596.09373137145
"2008","Mar",6721.67369910765,7411.08657858988,6985.60646743805,6378.14461071969,6631.0557507488,6896.16209652161,7365.45723813018,6658.50432999324,6339.83785639593,6136.19134567438
"2008","May",5469.23756929831,5993.90377414079,5433.66453048646,5977.84078810032,5476.82401312399,6073.12418535989,6348.90572812973,5912.7498226292,4848.04760352069,5152.14165627816
"2008","Nov",5909.77480613358,6562.20811561789,4760.77524854396,5704.43695519492,5129.85365295384,4719.77776005944,5933.20465370327,5615.28482771892,4900.23036150624,5416.91629809488
"2008","Oct",4393.62060668075,5404.34706952523,3485.29086314393,5068.61915129159,3702.2273662318,4131.86165831242,5831.57155453575,4879.25196039694,3332.84969921327,4399.85853380014
"2008","Sep",3680.93480009092,4530.78284569837,3107.83313948995,3992.96266311699,3393.57498439803,3603.74218790681,4735.63394505798,3735.08619004773,3017.87867362092,3647.9527050333
"2009","Apr",6438.69565844396,7007.21970249477,6782.70028327692,6367.00510464197,6685.71162413767,6858.03269664348,7005.82316962935,6719.03910330503,5660.84582580092,5561.19661296061
"2009","Aug",3842.52561909146,4180.09589085561,3447.4560693183,3984.27166772277,3966.27439165574,4114.32510140091,4554.2025850079,4063.14069586345,3225.40892637472,3655.18342088203
"2009","Dec",6673.09912017149,7111.97414863433,6364.16496830562,6502.07868398118,6791.92344924356,6192.5886749057,6886.52116288671,6712.1029477706,6148.18876869708,5870.42934940506
"2009","Feb",6666.09298907241,6857.62672901002,7094.00363272721,6578.68340559184,7040.52386687612,6943.3796131564,7226.56826982013,6984.00551269207,6569.24879204409,6121.07287652564
"2009","Jan",6918.0076038137,7339.43045483986,7083.11434343161,6642.48460410671,6923.42938349612,6774.52507588918,7035.15540388317,6864.75235608969,6566.04273684769,6135.71676074987
"2009","Jul",4389.0279008563,4756.81066451314,4043.54126174784,4835.74191398113,4536.86216157315,4725.40578579059,5029.09965429363,4741.31156977917,3680.00012040933,4130.01593550476
"2009","Jun",5076.13539958614,5459.22423263841,4998.49261045661,5639.21355979869,5360.47810530415,5469.22451752599,5756.03033893565,5510.24089850212,4355.15375825726,4661.76539418815
