Case_ID,Farm_Polygon,Crop_Type,Planting_Date,Harvesting_date,crop_condition,season,Intercropping,inter_with_which_crop,ADM0(Country),ADM1,ADM2,Final_Weight,Yield(Mt/ha),,,,,,,,,,,,
014a0d44-e440-4e99-a735-6e6aef78f345,"MULTIPOLYGON (((33.0421469889561 -12.2767587628439,33.0422558920414 -12.2758369760145,33.0427031725704 -12.2762686989599,33.0427415 -12.2766833,33.0421469889561 -12.2767587628439)))",maize,2022-01-24,2022-06-06,below_average,Main Season,no,,Zambia,Lundazi,Vuu,6.55,1.64,,,,,,,,,,,,
0158a7f8-f73d-4428-a7b9-38f5f1639675,"MULTIPOLYGON (((27.7563179553021 -16.5560436347692,27.7560499887998 -16.5562370298695,27.7557806800759 -16.5559685606293,27.7559590222975 -16.5557620455746,27.7563179553021 -16.5560436347692)))",sorghum,2022-01-02,2022-06-02,average,Main Season,no,,Zambia,Gwembe,Lukonde,3.59,0.90,,,,,,,,,,,,
017407ab-a8ab-4741-84fd-5ec6b1ef39cc,"MULTIPOLYGON (((29.9320797 -8.9378448,29.9317689 -8.9377456,29.9320387 -8.937437,29.9322513 -8.9376189,29.9320797 -8.9378448)))",maize,2021-12-22,2022-07-20,good,Main Season,no,,Zambia,Nsama,Mwangala,7.86,1.97,,,,,,,,,,,,
01752967-16d3-429f-974b-440d1c9696f7,"MULTIPOLYGON (((32.8420331 -11.7664609,32.842345 -11.7667183,32.8420657 -11.7670556,32.8416727 -11.7668968,32.8420331 -11.7664609)))",maize,2022-01-13,2022-05-18,below_average,Main Season,no,,Zambia,Chama,Manga,2.34,0.58,,,,,,,,,,,,
01866145-4973-44c2-8ce1-2a164872db17,"MULTIPOLYGON (((31.7425018245312 -11.6388619521875,31.7424011820312 -11.6390868446875,31.7422955695312 -11.6390334171875,31.7423539670312 -11.6388358596875,31.7425018245312 -11.6388619521875)))",groundnuts,2022-01-02,2022-06-15,good,Main Season,yes,maize,Zambia,Mpika,Katibunga,2.29,0.57,,,,,,,,,,,,
01b63d62-9246-4a65-94ea-8a488179a4ce,"MULTIPOLYGON (((27.7119982434737 -15.8644017616974,27.7121384763158 -15.8643824439079,27.7121449155789 -15.8644307383816,27.7120053982105 -15.8644557799605,27.7119982434737 -15.8644017616974)))",maize,2021-12-24,2022-05-26,good,Main Season,no,,Zambia,Mazabuka,Kaleya,10.02,2.51,,,,,,,,,,,,
01b7ce74-76e4-41d9-a450-d7d65d3fc55c,"MULTIPOLYGON (((31.4741585 -11.744789,31.4741282 -11.7449717,31.4738873 -11.7448766,31.4738998 -11.7448506,31.4736748 -11.74473,31.4737428 -11.7446033,31.4741585 -11.744789)))",groundnuts,2021-12-28,2022-06-17,good,Main Season,no,,Zambia,Mpika,Chalwe,1.51,0.38,,,,,,,,,,,,
01c04089-6564-41da-8128-8a2f6be390c1,"MULTIPOLYGON (((30.1052448 -13.2838335,30.1052617 -13.2838377,30.1052663 -13.2838355,30.1052675 -13.2838305,30.1052677 -13.2838259,30.1052661 -13.2838202,30.1052627 -13.283817,30.1052583 -13.2838109,30.1052544 -13.2838035,30.1052494 -13.2837946,30.1052569 -13.2837867,30.1052564 -13.2837772,30.1052527 -13.2837682,30.1052495 -13.283756,30.105245 -13.2837438,30.1052426 -13.2837318,30.1052397 -13.2837212,30.1052374 -13.2837094,30.1052355 -13.2836997,30.1052339 -13.2836903,30.1052326 -13.2836815,30.1052293 -13.2836729,30.1052249 -13.2836649,30.1052221 -13.2836563,30.1052188 -13.2836497,30.1052172 -13.2836418,30.1052167 -13.2836335,30.1052135 -13.2836254,30.1052095 -13.2836179,30.1052054 -13.28361,30.1052019 -13.283601,30.1051971 -13.2835932,30.1051946 -13.2835848,30.1051947 -13.2835762,30.1051931 -13.2835679,30.1051893 -13.2835597,30.1051838 -13.28355,30.105178 -13.2835408,30.1051734 -13.2835319,30.1051696 -13.283524,30.1051659 -13.2835167,30.1051627 -13.283509,30.1051604 -13.2835017,30.1051574 -13.2834932,30.1051534 -13.2834833,30.1051488 -13.2834733,30.1051448 -13.2834634,30.1051411 -13.2834557,30.1051367 -13.2834478,30.105132 -13.2834404,30.1051278 -13.2834319,30.1051239 -13.2834244,30.105121 -13.2834163,30.1051189 -13.2834074,30.1051172 -13.2833973,30.1051145 -13.2833873,30.1051119 -13.283378,30.1051107 -13.2833708,30.1051117 -13.2833672,30.105116 -13.2833656,30.1051219 -13.2833644,30.1051301 -13.2833629,30.1051372 -13.2833599,30.1051435 -13.2833567,30.1051509 -13.2833537,30.1051564 -13.2833504,30.1051611 -13.283348,30.1051676 -13.2833454,30.1051759 -13.2833436,30.1051851 -13.2833404,30.1051934 -13.2833396,30.1052003 -13.2833392,30.1052048 -13.2833391,30.1052078 -13.2833412,30.1052105 -13.2833452,30.1052123 -13.2833509,30.1052139 -13.2833573,30.1052171 -13.2833656,30.1052211 -13.2833749,30.1052251 -13.283384,30.1052271 -13.2833937,30.1052289 -13.283403,30.1052309 -13.2834129,30.1052342 -13.2834224,30.1052368 -13.2834315,30.1052391 -13.2834413,30.1052411 -13.2834499,30.1052435 -13.2834594,30.1052458 -13.2834678,30.1052486 -13.2834764,30.1052508 -13.2834858,30.1052543 -13.2834964,30.1052568 -13.283507,30.105259 -13.283519,30.1052627 -13.2835301,30.1052664 -13.2835417,30.1052699 -13.2835526,30.1052733 -13.2835632,30.1052751 -13.2835729,30.1052777 -13.2835835,30.10528 -13.2835939,30.1052819 -13.2836042,30.1052846 -13.2836136,30.1052877 -13.2836232,30.1052916 -13.2836338,30.1052944 -13.283645,30.1052975 -13.2836557,30.1053007 -13.2836661,30.1053039 -13.2836764,30.1053071 -13.2836872,30.1053094 -13.2836994,30.1053123 -13.2837106,30.1053161 -13.2837213,30.1053192 -13.2837316,30.1053234 -13.28374,30.1053279 -13.2837476,30.1053309 -13.2837557,30.1053333 -13.2837639,30.105336 -13.2837729,30.1053391 -13.2837801,30.1053414 -13.2837885,30.1053432 -13.2837976,30.1053458 -13.2838071,30.1053488 -13.283816,30.1053521 -13.2838245,30.1053553 -13.2838345,30.1053586 -13.2838445,30.1053622 -13.2838543,30.1053648 -13.2838627,30.1053678 -13.2838695,30.1053697 -13.2838769,30.1053704 -13.2838864,30.1053717 -13.283896,30.1053714 -13.2839027,30.1053712 -13.2839077,30.10537 -13.2839108,30.1053646 -13.2839121,30.1053573 -13.283915,30.1053492 -13.2839187,30.1053399 -13.2839227,30.1053301 -13.2839254,30.1053202 -13.2839283,30.10531 -13.2839314,30.1052988 -13.2839351,30.105288 -13.283937,30.1052786 -13.2839377,30.1052703 -13.2839377,30.1052633 -13.2839375,30.1052582 -13.2839365,30.1052562 -13.2839336,30.1052546 -13.2839301,30.1052526 -13.2839264,30.1052511 -13.2839211,30.1052492 -13.2839135,30.1052476 -13.2839069,30.1052461 -13.2839002,30.1052446 -13.2838941,30.1052431 -13.2838877,30.1052423 -13.2838817,30.105242 -13.2838761,30.105241 -13.2838699,30.1052406 -13.2838641,30.1052395 -13.2838594,30.1052374 -13.2838554,30.1052347 -13.283851,30.1052316 -13.2838464,30.1052292 -13.2838439,30.1052271 -13.2838419,30.1052264 -13.2838414,30.1052268 -13.2838421,30.1052263 -13.2838404,30.1052261 -13.2838394,30.105226 -13.2838389,30.105226 -13.2838386,30.1052261 -13.2838385,30.1052262 -13.2838384,30.1052448 -13.2838335)))",IrishPotatoes,2021-12-30,2022-05-17,below_average,Main Season,no,,Zambia,Serenje,Serenje_,16.73,4.18,,,,,,,,,,,,
01e4c90d-fa59-4607-89c8-44dccace4c04,"MULTIPOLYGON (((30.0626687 -13.2960905,30.0626977 -13.2960645,30.0627119 -13.2960632,30.0627171 -13.2960646,30.0627165 -13.2960677,30.0627155 -13.2960708,30.0627175 -13.2960749,30.0627239 -13.2960798,30.0627327 -13.2960859,30.0627449 -13.296096,30.0627381 -13.2961155,30.0627284 -13.2961311,30.0627216 -13.2961434,30.0627164 -13.2961566,30.0627122 -13.2961716,30.0627096 -13.2961866,30.0627082 -13.2962035,30.0627053 -13.2962162,30.0627035 -13.2962274,30.0627011 -13.2962402,30.0626993 -13.2962535,30.0627003 -13.2962668,30.0627 -13.2962803,30.0626982 -13.2962939,30.0626966 -13.2963073,30.0626968 -13.2963216,30.0626961 -13.2963359,30.0626945 -13.2963498,30.0626929 -13.2963635,30.0626929 -13.2963765,30.0626925 -13.2963895,30.0626932 -13.2964027,30.0626926 -13.2964151,30.0626929 -13.2964272,30.0626928 -13.2964391,30.0626907 -13.2964515,30.0626889 -13.2964644,30.0626873 -13.2964768,30.062686 -13.2964896,30.0626848 -13.2965034,30.0626827 -13.296517,30.0626819 -13.2965306,30.0626815 -13.2965441,30.0626793 -13.2965567,30.0626773 -13.2965697,30.0626754 -13.296582,30.0626733 -13.2965932,30.0626687 -13.2966011,30.0626609 -13.2966033,30.0626518 -13.2966046,30.062641 -13.2966037,30.0626295 -13.296602,30.0626183 -13.2965996,30.0626066 -13.2965952,30.0625946 -13.2965912,30.0625835 -13.2965873,30.0625717 -13.2965846,30.0625606 -13.2965827,30.062549 -13.2965802,30.0625372 -13.2965777,30.0625261 -13.2965747,30.0625167 -13.296571,30.062513 -13.2965645,30.062514 -13.2965558,30.0625161 -13.2965446,30.062519 -13.2965328,30.06252 -13.2965206,30.0625215 -13.2965093,30.0625235 -13.2964976,30.0625259 -13.296485,30.0625285 -13.2964725,30.0625299 -13.2964602,30.0625314 -13.2964479,30.0625329 -13.2964349,30.0625346 -13.2964225,30.0625363 -13.2964095,30.0625379 -13.2963969,30.0625376 -13.2963833,30.0625375 -13.2963696,30.0625378 -13.2963561,30.0625396 -13.2963425,30.0625402 -13.2963291,30.0625396 -13.2963163,30.0625382 -13.2963025,30.0625375 -13.2962896,30.0625373 -13.2962772,30.0625374 -13.2962643,30.0625373 -13.296252,30.0625372 -13.2962384,30.0625371 -13.2962241,30.0625372 -13.2962109,30.0625372 -13.2961992,30.0625381 -13.2961891,30.0625384 -13.2961799,30.0625388 -13.2961703,30.06254 -13.2961584,30.0625414 -13.2961451,30.0625423 -13.2961334,30.0625431 -13.296121,30.0625435 -13.2961082,30.0625442 -13.2960951,30.0625453 -13.2960828,30.0625476 -13.2960722,30.0625525 -13.2960661,30.062561 -13.2960642,30.0625724 -13.2960652,30.0625844 -13.2960668,30.0625967 -13.2960687,30.062609 -13.2960705,30.0626206 -13.2960742,30.0626324 -13.2960771,30.0626428 -13.2960792,30.0626516 -13.2960812,30.0626595 -13.2960814,30.062666 -13.2960815,30.0626709 -13.2960805,30.0626742 -13.2960783,30.0626687 -13.2960905)))",IrishPotatoes,2022-01-04,2022-04-20,average,Main Season,no,,Zambia,Serenje,Chimupati,7.25,1.81,,,,,,,,,,,,
021a40f9-0735-4a33-ba53-0db5007c94c5,"MULTIPOLYGON (((29.3923796632124 -10.3218736305219,29.3923088302205 -10.3214858087554,29.3927749 -10.3213245,29.3928743 -10.3217299,29.3923796632124 -10.3218736305219)))",groundnuts,2022-01-06,2022-05-16,below_average,Main Season,no,,Zambia,Chipili,Kalundu,0.44,0.11,,,,,,,,,,,,
